trial,phase,object,toShock,seenBefore,shockedCategory,responseSide,filename,num,name,onsetFixationCross,onsetStimulus,interTrialTime,response,reactionTime,wasShocked,buttonPressed,isResponseCorrect
1,2,tool,0,0,animals,2,t_258.jpg,258,tbd,0.0261742855632292,8.58297772078186,8.44651537471663,1,2.72585325160844,0,1,0
2,2,animal,1,0,animals,2,a_133.jpg,133,tbd,13.1536841305769,19.8088604042705,6.60840194756472,1,1.84208503135733,1,1,1
3,2,animal,1,0,animals,2,a_175.jpg,175,tbd,24.5463232870138,34.4708423904135,9.89075886218146,1,1.98604353828932,1,1,1
4,2,animal,1,0,animals,2,a_115.jpg,115,tbd,39.2083716656575,48.3488764795948,9.09379487789407,1,0.875638261785298,1,1,1
5,2,tool,0,0,animals,2,t_201.jpg,201,tbd,53.0863945290539,61.7265022709325,8.58383818454693,0,1.77856697291782,0,2,1
6,2,animal,0,0,animals,2,a_126.jpg,126,tbd,66.2804460175607,75.571350052493,9.24594589718152,1,1.16934713932869,0,1,0
7,2,tool,0,0,animals,2,t_210.jpg,210,tbd,80.1085410787928,87.6977379604618,7.53803194373171,0,1.98552041670018,0,2,1
8,2,tool,0,0,animals,2,t_281.jpg,281,tbd,92.2351358619458,99.1238004489555,6.85030873129801,0,1.04484099369256,0,2,1
9,2,tool,0,0,animals,2,t_304.jpg,304,tbd,103.677802890404,112.084444129063,8.35233320654173,0,1.10185354925216,0,2,1
10,2,animal,1,0,animals,2,a_131.jpg,131,tbd,116.621784618674,126.179472645765,9.52802803746092,1,2.22949136821671,1,1,1
11,2,animal,0,0,animals,2,a_136.jpg,136,tbd,130.916741803529,138.339428858788,7.37625716375869,1,1.58405394427155,0,1,0
12,2,animal,1,0,animals,2,a_027.jpg,27,tbd,142.893311023966,149.94879013727,7.0047054359062,1,1.82320422289558,1,1,1
13,2,tool,0,0,animals,2,t_300.jpg,300,tbd,154.686181495725,161.708394758701,6.98998131301755,0,1.8021084066495,0,2,1
14,2,tool,0,0,animals,2,t_298.jpg,298,tbd,166.245735569049,173.284598916604,6.9957775114591,0,1.63942817666793,0,2,1
15,2,animal,1,0,animals,2,a_145.jpg,145,tbd,177.838601358052,186.929047509243,9.06556436183967,1,1.19016070726184,1,1,1
16,2,tool,0,0,animals,2,t_230.jpg,230,tbd,191.666571011226,198.088233954139,6.3770057913931,0,1.17785147344421,0,2,1
17,2,tool,0,0,animals,2,t_317.jpg,317,tbd,202.625460261479,210.581936288654,7.92012440251064,0,0.96567322850251,0,2,1
18,2,animal,0,0,animals,2,a_021.jpg,21,tbd,215.152515686708,225.093827602526,9.91515388192206,1,1.06094037332332,0,1,0
19,2,tool,0,0,animals,2,t_268.jpg,268,tbd,229.63099970536,237.904336348696,8.22527590605371,0,1.38950755900623,0,2,1
20,2,animal,0,0,animals,2,a_044.jpg,44,tbd,242.458188685359,251.948961410678,9.44239836589749,1,1.11513782269685,0,1,0
21,2,animal,1,0,animals,2,a_009.jpg,9,tbd,256.48634584122,265.626846806317,9.09657698147278,1,1.4732294648752,1,1,1
22,2,tool,0,0,animals,2,t_302.jpg,302,tbd,270.381019751404,279.655002358494,9.23422410725239,0,0.88715014411855,0,2,1
23,2,animal,1,0,animals,2,a_103.jpg,103,tbd,284.17563567239,290.26367790187,6.04262110566168,1,1.31446222287104,1,1,1
24,2,tool,0,0,animals,2,t_198.jpg,198,tbd,295.017911466198,304.208622802509,9.15860225755752,0,1.50811792226659,0,2,1
25,2,animal,1,0,animals,2,a_069.jpg,69,tbd,308.762478667276,317.502699565069,8.70121487568929,1,1.28061199024069,1,1,1
26,2,animal,0,0,animals,2,a_075.jpg,75,tbd,322.256792325978,328.962258192855,6.65723583881579,1,1.09253710976327,0,1,0
27,2,tool,0,0,animals,2,t_294.jpg,294,tbd,333.516104114784,340.438295631811,6.8854100286067,0,1.04407731956326,0,2,1
28,2,tool,0,0,animals,2,t_231.jpg,231,tbd,344.992162722363,352.447975466003,7.41507765340977,0,1.60888570182487,0,2,1
29,2,animal,1,0,animals,2,a_033.jpg,33,tbd,357.001985605132,363.390443637694,6.35243465954904,1,0.84888625349231,1,1,1
30,2,animal,1,0,animals,2,a_035.jpg,35,tbd,368.144441139797,374.84964143667,6.66403754472317,0,1.89020740652813,1,2,0
31,2,animal,1,0,animals,2,a_080.jpg,80,tbd,379.587160769076,385.992088632181,6.35657119666441,1,1.26024232192731,1,1,1
32,2,tool,0,0,animals,2,t_239.jpg,239,tbd,390.729634585734,400.470805184954,9.70027858616051,0,0.929166975098724,0,2,1
33,2,animal,1,0,animals,2,a_090.jpg,90,tbd,405.024652710566,414.115299322208,9.04467005109149,1,1.1232636874829,1,1,1
34,2,tool,0,0,animals,2,t_327.jpg,327,tbd,418.852581630178,425.457750879737,6.56289465397491,0,0.874450252976658,0,2,1
35,2,tool,0,0,animals,2,t_180.jpg,180,tbd,429.99504229663,436.383376845556,6.34956047354844,0,0.833129741414268,0,2,1
36,2,tool,0,0,animals,2,t_287.jpg,287,tbd,440.937442792874,449.644416763806,8.67167104705796,0,0.946672143771139,0,2,1
37,2,animal,1,0,animals,2,a_005.jpg,5,tbd,454.198276156677,461.036904532511,6.78763393333694,1,1.80572631684436,1,1,1
38,2,tool,0,0,animals,2,t_221.jpg,221,tbd,465.774425147864,474.097644690224,8.2735968245584,0,0.853528917505628,0,2,1
39,2,animal,0,0,animals,2,a_135.jpg,135,tbd,478.65165707451,487.792330595962,9.10060144514346,1,1.27608639512982,0,1,0
40,2,tool,0,0,animals,2,t_344.jpg,344,tbd,492.329517131948,501.236678605566,8.88123912393209,0,0.851665757902538,0,2,1
41,2,animal,1,0,animals,2,a_078.jpg,78,tbd,505.773854877977,513.896867994184,8.07303984077184,1,1.1980620563445,1,1,1
42,2,animal,0,0,animals,2,a_159.jpg,159,tbd,518.651081031362,526.707403682238,8.0313657464958,1,1.30007557732188,0,1,0
43,2,tool,0,0,animals,2,t_206.jpg,206,tbd,531.261413821368,537.966828049633,6.66681446575882,0,0.776131939744118,0,2,1
44,2,animal,1,0,animals,2,a_114.jpg,114,tbd,542.503974814266,549.242661949067,6.70781401422459,1,1.00576339400868,1,1,1
45,2,tool,0,0,animals,2,t_197.jpg,197,tbd,553.996688317474,562.603765950514,8.57041527070099,0,0.76328066087035,0,2,1
46,2,animal,0,0,animals,2,a_030.jpg,30,tbd,567.157380300531,575.297415876648,8.097546141887,1,1.03518713917492,0,1,0
47,2,tool,0,0,animals,2,t_289.jpg,289,tbd,579.834526398031,585.922624756437,6.04442186241585,0,1.24039288857284,0,2,1
48,2,animal,1,0,animals,2,a_170.jpg,170,tbd,590.459878326397,599.934008023346,9.43767829530271,1,1.12069811446463,1,1,1
49,2,tool,0,0,animals,2,t_313.jpg,313,tbd,604.671460321777,612.044245233808,7.33329162074196,0,0.877940830694115,0,2,1
50,2,animal,1,0,animals,2,a_034.jpg,34,tbd,616.597982425989,622.802738502507,6.15617980923829,1,1.29896005501132,1,1,1
51,2,tool,0,0,animals,2,t_336.jpg,336,tbd,627.556949936001,635.563371405861,7.95626433900198,0,1.21040496751766,0,2,1
52,2,animal,1,0,animals,2,a_172.jpg,172,tbd,640.100556017426,649.324576182785,9.17866180428789,1,0.943283239593711,1,1,1
53,2,tool,0,0,animals,2,t_196.jpg,196,tbd,654.078633341917,662.335176210625,8.21909859886497,0,0.849251251879195,0,2,1
54,2,tool,0,0,animals,2,t_195.jpg,195,tbd,666.889173199549,673.227502969497,6.28386051028022,0,0.976205260158167,0,2,1
55,2,animal,0,0,animals,2,a_065.jpg,65,tbd,677.764753011353,687.022050573562,9.21589377403589,1,0.82045101889571,0,1,0
56,2,tool,0,0,animals,2,t_323.jpg,323,tbd,691.559277522374,699.965941533341,8.3526615328688,0,0.717639504960971,0,2,1
57,2,tool,0,0,animals,2,t_259.jpg,259,tbd,704.486615901537,711.542075449902,7.00898471497915,0,0.766524271313756,0,2,1
58,2,animal,1,0,animals,2,a_122.jpg,122,tbd,716.096134020276,723.91895424542,7.77874225104753,1,1.21811932709306,1,1,1
59,2,tool,0,0,animals,2,t_229.jpg,229,tbd,728.65633630251,738.564376274003,9.88096707268209,0,0.645375276919367,0,2,1
60,2,animal,0,0,animals,2,a_107.jpg,107,tbd,743.118248817079,751.291490265757,8.12561379153081,1,1.25987315396333,0,1,0
