trial,phase,object,toShock,seenBefore,shockedCategory,responseSide,filename,num,name,onsetFixationCross,onsetCertaintyOptions,interTrialTime,wasShocked,buttonPressedCertainty,certaintyRT
1,2,tool,0,1,animals,2,t_345.jpg,345,tbd,0.021561522439697,2.95708024992223,1.61173896023083,0,1,2.35149831909848
2,4,animal,0,0,animals,2,a_057.jpg,57,tbd,5.35917483365938,7.46086699277794,1.0294698001899,0,4,1.01074694900421
3,3,animal,0,1,animals,2,a_161.jpg,161,tbd,8.47849099084601,10.5965915671725,1.04566085071625,0,3,1.69816690589118
4,2,animal,0,1,animals,2,a_018.jpg,18,tbd,12.3149700272079,15.3172754613033,1.89628346219794,0,1,0.453653617732016
5,4,animal,0,0,animals,2,a_160.jpg,160,tbd,15.7844761068761,18.0359820319509,1.1760060947724,0,1,0.0257364401632003
6,4,animal,0,0,animals,2,a_134.jpg,134,tbd,18.0696138507901,20.7216565558456,1.57451492191206,0,4,1.29844062006168
7,3,animal,0,1,animals,2,a_035.jpg,35,tbd,22.0395158762558,24.7914382740869,1.64131097628917,0,1,0.654788309543846
8,1,tool,0,1,animals,2,t_227.jpg,227,tbd,25.4589637587876,28.094270256757,1.55845480309627,0,1,0.440689239383119
9,4,tool,0,0,animals,2,t_316.jpg,316,tbd,28.5446493800698,30.9130476774869,1.26218444086732,0,4,0.114067152567486
10,4,animal,0,0,animals,2,a_093.jpg,93,tbd,31.0299823866824,33.6152326119177,1.4984427323349,0,2,1.65496471309871
11,2,animal,0,1,animals,2,a_045.jpg,45,tbd,35.2835528748167,37.9688152558606,1.60055862742464,0,1,4.18524887356693
12,4,animal,0,0,animals,2,a_051.jpg,51,tbd,42.1725065162832,45.108018829091,1.83915837762742,0,1,0.0115228039119302
13,4,tool,0,0,animals,2,t_260.jpg,260,tbd,45.1248390684161,47.3598679392633,1.16486165069308,0,3,0.730207885399295
14,4,tool,0,0,animals,2,t_200.jpg,200,tbd,48.0938128904493,50.2620486400087,1.06788530606088,0,2,0.912050763715115
15,4,tool,0,0,animals,2,t_209.jpg,209,tbd,51.1797916623661,53.948548091073,1.67064617794835,0,3,2.56175820643762
16,3,animal,0,1,animals,2,a_043.jpg,43,tbd,56.5174341603561,59.5697702084865,1.97987111822698,0,3,1.93969320076553
17,4,animal,0,0,animals,2,a_007.jpg,7,tbd,61.5214773298339,64.1901574559849,1.57805637969773,0,3,2.56449085786949
18,4,tool,0,0,animals,2,t_221.jpg,221,tbd,66.7590454496703,69.044105896754,1.19818885040082,0,2,1.28964610101616
19,1,tool,0,1,animals,2,t_326.jpg,326,tbd,70.3453088727781,72.5302654342045,1.07761307593712,0,1,1.8724767109461
20,4,tool,0,0,animals,2,t_307.jpg,307,tbd,74.4152329967981,76.5500181420794,1.05071904077261,0,4,0.207979273448018
21,4,tool,0,0,animals,2,t_263.jpg,263,tbd,76.7671625790649,78.9687180735384,1.11085122974054,0,4,2.78145792909913
22,1,animal,0,1,animals,2,a_079.jpg,79,tbd,81.7545170100495,84.1061351598585,1.24301612971556,0,1,0.192748269785852
23,4,animal,0,0,animals,2,a_148.jpg,148,tbd,84.3066030462328,86.8585386582938,1.47123066543606,0,2,2.52265563226069
24,4,tool,0,0,animals,2,t_213.jpg,213,tbd,89.394011007678,91.6456878838342,1.17490697512989,0,4,1.43869940728382
25,4,animal,0,0,animals,2,a_094.jpg,94,tbd,93.0967588298158,95.2987052987137,1.12678793285187,0,1,0.7529366816118
26,2,animal,0,1,animals,2,a_110.jpg,110,tbd,96.0661303616819,98.6846082812488,1.52394147947842,0,3,2.84505333503739
27,3,tool,0,1,animals,2,t_320.jpg,320,tbd,101.537095459116,103.905479644249,1.26824313689718,0,1,0.979478617066661
28,4,tool,0,0,animals,2,t_253.jpg,253,tbd,104.889844516078,107.74197407583,1.77338181837165,0,4,0.106086014277025
29,2,animal,0,1,animals,2,a_137.jpg,137,tbd,107.858955932885,110.894594582711,1.94931218233069,0,1,0.962629190971484
30,4,animal,0,0,animals,2,a_071.jpg,71,tbd,111.862258207432,114.34745778881,1.41341063580668,0,2,2.87093301947402
31,2,tool,0,1,animals,2,t_220.jpg,220,tbd,117.233238090691,119.584863296642,1.26308039784389,0,4,2.31867763587798
32,4,animal,0,0,animals,2,a_012.jpg,12,tbd,121.920367783547,124.188605425436,1.16410861483821,0,3,0.599156080806779
33,4,animal,0,0,animals,2,a_041.jpg,41,tbd,124.806040318893,126.907610278458,1.00752798384498,0,3,0.753124631580931
34,4,animal,0,0,animals,2,a_097.jpg,97,tbd,127.675056189119,130.693988139363,1.90736307038623,0,4,0.74565923313844
35,1,animal,0,1,animals,2,a_050.jpg,50,tbd,131.44468437212,133.896457724984,1.37988766302873,0,1,0.314507135106851
36,2,tool,0,1,animals,2,t_332.jpg,332,tbd,134.230192403133,137.299370179749,1.99869819187052,0,1,0.0768370219423105
37,2,tool,0,1,animals,2,t_321.jpg,321,tbd,137.38284177605,139.717944704317,1.23284789819528,0,1,0.0412121636663869
38,4,tool,0,0,animals,2,t_181.jpg,181,tbd,139.768131194948,142.636852631604,1.78211417946098,0,4,0.0684049320186659
39,3,tool,0,1,animals,2,t_295.jpg,295,tbd,142.720552911059,144.872118203949,1.07188964600033,0,4,0.611241007251465
40,2,animal,0,1,animals,2,a_112.jpg,112,tbd,145.489483818919,147.641075091241,1.06623103204627,0,1,0.847509834722587
41,4,tool,0,0,animals,2,t_243.jpg,243,tbd,148.50856747622,150.710073256965,1.09431758273027,0,4,1.26652184010709
42,4,animal,0,0,animals,2,a_131.jpg,131,tbd,151.994742088156,154.846787294935,1.76867292865772,0,1,0.313865026166923
