,subject,condition,stimulus,memory_condition,phase,buttonPressedCertainty,Low,High,Low_and_High
10240,123,CS+,tools/campingstove.jpg,Old,1,3,0,0,0
10241,123,CS-,animals/lobsterspiny.jpg,New,4,4,0,0,0
10242,123,CS-,animals/angelfish.jpg,Old,2,1,0,1,1
10243,123,CS+,tools/electricbreaker.jpg,Old,2,1,0,1,1
10244,123,CS-,animals/aardvark.jpg,Old,1,3,0,0,0
10245,123,CS-,animals/deer.jpg,New,4,4,0,0,0
10246,123,CS-,animals/duck.jpg,Old,3,4,0,0,0
10247,123,CS-,animals/palmcockatoo.jpg,Old,3,2,1,0,1
10248,123,CS+,tools/vicegrips.jpg,New,4,2,1,0,1
10249,123,CS+,tools/tubeflaring.jpg,Old,3,2,1,0,1
10250,123,CS+,tools/smartphone.jpg,New,4,4,0,0,0
10251,123,CS+,tools/vegetablepeeler.jpg,Old,3,1,0,1,1
10252,123,CS-,animals/llama.jpg,Old,1,1,0,1,1
10253,123,CS+,tools/carpetblower.jpg,Old,1,1,0,1,1
10254,123,CS+,tools/clippers.jpg,New,4,4,0,0,0
10255,123,CS+,tools/electricsewingmachine.jpg,New,4,4,0,0,0
10256,123,CS-,animals/tiger.jpg,Old,2,3,0,0,0
10257,123,CS-,animals/kangaroo.jpg,New,4,2,1,0,1
10258,123,CS+,tools/beadingtool.jpg,Old,2,1,0,1,1
10259,123,CS-,animals/macaw.jpg,New,4,2,1,0,1
10260,123,CS-,animals/prayingmantis.jpg,Old,2,1,0,1,1
10261,123,CS-,animals/cod.jpg,New,4,1,0,1,1
10262,123,CS+,tools/compass.jpg,New,4,4,0,0,0
10263,123,CS+,tools/screwdriver.jpg,Old,1,2,1,0,1
10264,123,CS-,animals/crow.jpg,Old,2,1,0,1,1
10265,123,CS+,tools/hourglass.jpg,New,4,4,0,0,0
10266,123,CS-,animals/snail.jpg,Old,3,4,0,0,0
10267,123,CS+,tools/pruner.jpg,Old,3,3,0,0,0
10268,123,CS-,animals/lizard.jpg,New,4,1,0,1,1
10269,123,CS-,animals/penguin.jpg,New,4,2,1,0,1
10270,123,CS+,tools/vacuumcleaner.jpg,New,4,3,0,0,0
10271,123,CS+,tools/beaker.jpg,Old,3,1,0,1,1
10272,123,CS+,tools/extensioncord.jpg,Old,1,4,0,0,0
10273,123,CS-,animals/emu.jpg,New,4,2,1,0,1
10274,123,CS+,tools/cheesegrater.jpg,Old,2,1,0,1,1
10275,123,CS+,tools/stethoscope.jpg,New,4,2,1,0,1
10276,123,CS-,animals/reindeer.jpg,Old,1,4,0,0,0
10277,123,CS+,tools/reflexhammer.jpg,Old,2,1,0,1,1
10278,123,CS-,animals/baldeagle.jpg,Old,3,1,0,1,1
10279,123,CS-,animals/skunk.jpg,Old,1,1,0,1,1
10280,123,CS+,tools/viceclamp.jpg,Old,3,2,1,0,1
10281,123,CS-,animals/shark.jpg,Old,3,1,0,1,1
10282,123,CS+,tools/shovel.jpg,New,4,2,1,0,1
10283,123,CS+,tools/staplegun.jpg,New,4,4,0,0,0
10284,123,CS-,animals/gecko.jpg,New,4,2,1,0,1
10285,123,CS-,animals/zebra.jpg,Old,1,1,0,1,1
10286,123,CS+,tools/nailgun.jpg,New,4,4,0,0,0
10287,123,CS+,tools/gong.jpg,Old,2,1,0,1,1
10288,123,CS+,tools/bucket.jpg,Old,1,1,0,1,1
10289,123,CS+,tools/sander.jpg,Old,3,3,0,0,0
10290,123,CS-,animals/rhino.jpg,Old,1,1,0,1,1
10291,123,CS+,tools/treadmill.jpg,Old,1,1,0,1,1
10292,123,CS-,animals/vulture.jpg,New,4,4,0,0,0
10293,123,CS-,animals/finch.jpg,Old,1,4,0,0,0
10294,123,CS+,tools/cuttingboard.jpg,New,4,2,1,0,1
10295,123,CS-,animals/dockbug2.jpg,New,4,3,0,0,0
10296,123,CS-,animals/toucan.jpg,New,4,1,0,1,1
10297,123,CS+,tools/drillbit.jpg,Old,2,1,0,1,1
10298,123,CS-,animals/pike.jpg,Old,2,1,0,1,1
10299,123,CS-,animals/ant.jpg,Old,3,1,0,1,1
10300,123,CS+,tools/crank.jpg,New,4,3,0,0,0
10301,123,CS-,animals/dragonfly.jpg,Old,2,1,0,1,1
10302,123,CS+,tools/mallet.jpg,Old,3,1,0,1,1
10303,123,CS-,animals/ostrich.jpg,Old,2,2,1,0,1
10304,123,CS+,tools/magnifyingglass.jpg,New,4,1,0,1,1
10305,123,CS-,animals/elephantafrican.jpg,Old,1,1,0,1,1
10306,123,CS-,animals/ibises.jpg,New,4,4,0,0,0
10307,123,CS+,tools/plunger.jpg,Old,2,1,0,1,1
10308,123,CS+,tools/paintbrush.jpg,Old,1,1,0,1,1
10309,123,CS-,animals/flea.jpg,Old,2,1,0,1,1
10310,123,CS-,animals/lion.jpg,New,4,2,1,0,1
10311,123,CS+,tools/watch.jpg,New,4,4,0,0,0
10312,123,CS-,animals/clam.jpg,New,4,2,1,0,1
10313,123,CS+,tools/tape.jpg,New,4,1,0,1,1
10314,123,CS+,tools/transmissionwrench.jpg,Old,2,2,1,0,1
10315,123,CS+,tools/padlock.jpg,Old,1,1,0,1,1
10316,123,CS+,tools/benchdogs.jpg,Old,3,1,0,1,1
10317,123,CS-,animals/clownfish.jpg,New,4,1,0,1,1
10318,123,CS-,animals/catfish.jpg,Old,3,1,0,1,1
10319,123,CS-,animals/assassinbug.jpg,Old,3,1,0,1,1
10320,124,CS-,animals/highlandcow.jpg,New,4,2,1,0,1
10321,124,CS-,animals/finch.jpg,Old,3,1,0,1,1
10322,124,CS+,tools/treadmill.jpg,Old,3,1,0,1,1
10323,124,CS+,tools/magnet.jpg,New,4,3,0,0,0
10324,124,CS+,tools/drillbit.jpg,Old,1,1,0,1,1
10325,124,CS-,animals/prayingmantis.jpg,Old,1,1,0,1,1
10326,124,CS+,tools/whistle.jpg,New,4,2,1,0,1
10327,124,CS-,animals/aardvark.jpg,Old,3,2,1,0,1
10328,124,CS-,animals/koala.jpg,New,4,3,0,0,0
10329,124,CS+,tools/viceclamp.jpg,Old,2,2,1,0,1
10330,124,CS-,animals/crane.jpg,New,4,1,0,1,1
10331,124,CS+,tools/bucket.jpg,Old,3,4,0,0,0
10332,124,CS-,animals/ant.jpg,Old,2,1,0,1,1
10333,124,CS+,tools/gong.jpg,Old,1,1,0,1,1
10334,124,CS-,animals/angelfish.jpg,Old,1,2,1,0,1
10335,124,CS-,animals/duck.jpg,Old,2,3,0,0,0
10336,124,CS+,tools/whisk.jpg,New,4,4,0,0,0
10337,124,CS+,tools/vegetablepeeler.jpg,Old,2,4,0,0,0
10338,124,CS-,animals/stickinsect.jpg,New,4,3,0,0,0
10339,124,CS+,tools/mellonballer.jpg,New,4,3,0,0,0
10340,124,CS-,animals/monkey.jpg,New,4,3,0,0,0
10341,124,CS+,tools/cheesegrater.jpg,Old,1,1,0,1,1
10342,124,CS-,animals/catfish.jpg,Old,2,4,0,0,0
10343,124,CS-,animals/panda.jpg,New,4,1,0,1,1
10344,124,CS-,animals/flea.jpg,Old,1,1,0,1,1
10345,124,CS+,tools/dremel.jpg,New,4,2,1,0,1
10346,124,CS+,tools/level.jpg,New,4,3,0,0,0
10347,124,CS-,animals/reindeer.jpg,Old,3,4,0,0,0
10348,124,CS+,tools/engine.jpg,New,4,2,1,0,1
10349,124,CS-,animals/pike.jpg,Old,1,1,0,1,1
10350,124,CS+,tools/campingstove.jpg,Old,3,4,0,0,0
10351,124,CS+,tools/beaker.jpg,Old,2,1,0,1,1
10352,124,CS-,animals/hermitcrab.jpg,New,4,4,0,0,0
10353,124,CS-,animals/octopus.jpg,New,4,2,1,0,1
10354,124,CS+,tools/plunger.jpg,Old,1,1,0,1,1
10355,124,CS-,animals/dragonfly.jpg,Old,1,1,0,1,1
10356,124,CS-,animals/snail.jpg,Old,2,4,0,0,0
10357,124,CS+,tools/burnisher.jpg,New,4,2,1,0,1
10358,124,CS+,tools/tubeflaring.jpg,Old,2,2,1,0,1
10359,124,CS+,tools/screwdriver.jpg,Old,3,3,0,0,0
10360,124,CS-,animals/zebra.jpg,Old,3,1,0,1,1
10361,124,CS+,tools/benchdogs.jpg,Old,2,3,0,0,0
10362,124,CS-,animals/assassinbug.jpg,Old,2,2,1,0,1
10363,124,CS+,tools/extensioncord.jpg,Old,3,4,0,0,0
10364,124,CS-,animals/balloonfish.jpg,New,4,3,0,0,0
10365,124,CS+,tools/caulkinggun.jpg,New,4,4,0,0,0
10366,124,CS-,animals/waterdragon.jpg,New,4,2,1,0,1
10367,124,CS+,tools/keys.jpg,New,4,3,0,0,0
10368,124,CS+,tools/pruner.jpg,Old,2,4,0,0,0
10369,124,CS-,animals/palmcockatoo.jpg,Old,2,2,1,0,1
10370,124,CS-,animals/bullfrog.jpg,New,4,4,0,0,0
10371,124,CS+,tools/lantern.jpg,New,4,4,0,0,0
10372,124,CS+,tools/reflexhammer.jpg,Old,1,1,0,1,1
10373,124,CS-,animals/rhino.jpg,Old,3,2,1,0,1
10374,124,CS+,tools/transmissionwrench.jpg,Old,1,1,0,1,1
10375,124,CS-,animals/crow.jpg,Old,1,1,0,1,1
10376,124,CS+,tools/paintbrush.jpg,Old,3,3,0,0,0
10377,124,CS-,animals/woodlouse.jpg,New,4,3,0,0,0
10378,124,CS+,tools/bolt.jpg,New,4,2,1,0,1
10379,124,CS-,animals/elephantafrican.jpg,Old,3,1,0,1,1
10380,124,CS+,tools/padlock.jpg,Old,3,4,0,0,0
10381,124,CS+,tools/carpetblower.jpg,Old,3,1,0,1,1
10382,124,CS-,animals/llama.jpg,Old,3,2,1,0,1
10383,124,CS-,animals/seaslug.jpg,New,4,3,0,0,0
10384,124,CS+,tools/grapplinghook.jpg,New,4,4,0,0,0
10385,124,CS-,animals/shark.jpg,Old,2,4,0,0,0
10386,124,CS+,tools/mallet.jpg,Old,2,3,0,0,0
10387,124,CS-,animals/baldeagle.jpg,Old,2,3,0,0,0
10388,124,CS-,animals/ladybug.jpg,New,4,4,0,0,0
10389,124,CS-,animals/tortoise.jpg,New,4,2,1,0,1
10390,124,CS+,tools/beadingtool.jpg,Old,1,1,0,1,1
10391,124,CS+,tools/sander.jpg,Old,2,4,0,0,0
10392,124,CS+,tools/microscope.jpg,New,4,3,0,0,0
10393,124,CS+,tools/electricdrill.jpg,New,4,3,0,0,0
10394,124,CS+,tools/wateringcan.jpg,New,4,3,0,0,0
10395,124,CS-,animals/ostrich.jpg,Old,1,1,0,1,1
10396,124,CS-,animals/flounder.jpg,New,4,2,1,0,1
10397,124,CS+,tools/electricbreaker.jpg,Old,1,1,0,1,1
10398,124,CS-,animals/tiger.jpg,Old,1,3,0,0,0
10399,124,CS-,animals/skunk.jpg,Old,3,1,0,1,1
10400,124,CS+,tools/ruler.jpg,Old,2,4,0,0,0
10401,124,CS-,animals/hyena.jpg,Old,3,3,0,0,0
10402,124,CS-,animals/horse.jpg,Old,3,3,0,0,0
10403,124,CS-,animals/mouse.jpg,Old,2,1,0,1,1
10404,124,CS-,animals/dove.jpg,New,4,3,0,0,0
10405,124,CS+,tools/carabiner.jpg,New,4,4,0,0,0
10406,124,CS-,animals/wasp.jpg,New,4,4,0,0,0
10407,124,CS+,tools/anvil.jpg,New,4,2,1,0,1
10408,124,CS-,animals/caterpillarpeacockmoth.jpg,Old,1,1,0,1,1
10409,124,CS+,tools/snowbrush.jpg,New,4,3,0,0,0
10410,124,CS-,animals/crab.jpg,New,4,3,0,0,0
10411,124,CS+,tools/workbench.jpg,Old,3,2,1,0,1
10412,124,CS-,animals/rooster.jpg,New,4,3,0,0,0
10413,124,CS-,animals/pelican.jpg,Old,1,1,0,1,1
10414,124,CS+,tools/flashlight.jpg,New,4,3,0,0,0
10415,124,CS+,tools/solderingtorch.jpg,Old,3,1,0,1,1
10416,124,CS+,tools/sparkplug.jpg,Old,2,2,1,0,1
10417,124,CS+,tools/ladder.jpg,Old,1,3,0,0,0
10418,124,CS+,tools/faxmachine.jpg,Old,1,1,0,1,1
10419,124,CS-,animals/camel.jpg,Old,2,1,0,1,1
10420,124,CS-,animals/orangutan.jpg,New,4,4,0,0,0
10421,124,CS+,tools/pick.jpg,New,4,2,1,0,1
10422,124,CS-,animals/mink.jpg,Old,2,1,0,1,1
10423,124,CS+,tools/hairdryer.jpg,Old,1,4,0,0,0
10424,124,CS-,animals/gerbil.jpg,Old,1,1,0,1,1
10425,124,CS-,animals/caterpillarhawkmoth.jpg,Old,3,4,0,0,0
10426,124,CS-,animals/stinkbug.jpg,New,4,3,0,0,0
10427,124,CS+,tools/monkeywrench.jpg,Old,3,2,1,0,1
10428,124,CS-,animals/shrimp.jpg,Old,3,4,0,0,0
10429,124,CS+,tools/measuringcups.jpg,Old,2,4,0,0,0
10430,124,CS-,animals/mahimahi.jpg,Old,2,1,0,1,1
10431,124,CS-,animals/beardeddragon.jpg,New,4,3,0,0,0
10432,124,CS+,tools/scissors.jpg,Old,1,2,1,0,1
10433,124,CS+,tools/camera.jpg,Old,3,1,0,1,1
10434,124,CS+,tools/telephone.jpg,New,4,3,0,0,0
10435,124,CS+,tools/laptop.jpg,New,4,3,0,0,0
10436,124,CS+,tools/blackboard.jpg,Old,2,4,0,0,0
10437,124,CS-,animals/giraffe.jpg,Old,1,2,1,0,1
10438,124,CS+,tools/pizzacutter.jpg,New,4,3,0,0,0
10439,124,CS-,animals/slug.jpg,New,4,3,0,0,0
10440,124,CS+,tools/broom.jpg,Old,2,2,1,0,1
10441,124,CS-,animals/leafinsect.jpg,New,4,4,0,0,0
10442,124,CS+,tools/fan.jpg,Old,2,1,0,1,1
10443,124,CS-,animals/cricket.jpg,Old,3,3,0,0,0
10444,124,CS+,tools/duster.jpg,New,4,4,0,0,0
10445,124,CS+,tools/hedgeshears.jpg,New,4,3,0,0,0
10446,124,CS+,tools/clamp.jpg,New,4,2,1,0,1
10447,124,CS+,tools/jumpercables.jpg,Old,3,2,1,0,1
10448,124,CS+,tools/razorblade.jpg,New,4,1,0,1,1
10449,124,CS-,animals/porcupine.jpg,Old,1,1,0,1,1
10450,124,CS-,animals/earthworm.jpg,New,4,4,0,0,0
10451,124,CS-,animals/dramaderry.jpg,Old,2,2,1,0,1
10452,124,CS+,tools/plow.jpg,Old,1,1,0,1,1
