trial,phase,object,toShock,seenBefore,shockedCategory,responseSide,filename,num,name,onsetFixationCross,onsetStimulus,interTrialTime,response,reactionTime,wasShocked,buttonPressed,isResponseCorrect
1,2,tool,0,0,animals,1,monkeywrench.jpg,16,(unused),0.032033686693012,6.68720817973826,6.5401630260562,0,0.969254067104885,0,2,1
2,2,animal,1,0,animals,1,panda.jpg,18,(unused),11.0911273132901,20.265019299773,9.11687075792705,0,1.91306149483034,1,2,0
3,2,animal,1,0,animals,1,cat.jpg,8,(unused),24.8356802590547,34.860243801927,9.98452600505792,0,2.58344655727115,1,2,0
4,2,animal,0,0,animals,1,quail.jpg,47,(unused),39.4142290711779,46.3529332733287,6.88848660937693,0,2.21721867841188,0,2,1
5,2,tool,0,0,animals,1,spraybottle.jpg,49,(unused),50.7234394455663,59.797389870092,9.02025104983261,1,2.2543085536845,0,1,0
6,2,animal,0,0,animals,1,caterpillarpeacockmoth.jpg,1,(unused),64.1510850018376,73.3251254889456,9.12844591296188,1,1.19307241267325,0,1,0
7,2,animal,1,0,animals,1,ferret.jpg,21,(unused),77.6787770006367,84.6511369610193,6.91301035595603,1,1.60746869829745,1,1,1
8,2,animal,0,0,animals,1,cockatiel.jpg,20,(unused),89.2048370962416,97.9285172047275,8.66130160452329,1,1.34868791729286,0,1,0
9,2,tool,0,0,animals,1,plunger.jpg,30,(unused),102.298873593397,111.155990974963,8.81765012896622,1,1.20374681719522,0,1,0
10,2,tool,0,0,animals,1,woodchipper.jpg,13,(unused),115.509644090333,122.448561902453,6.89113525593066,0,1.71775751437235,0,2,1
11,2,animal,1,0,animals,1,herculesbeetle.jpg,28,(unused),126.818874029598,134.341559665001,7.46554331856602,1,1.4731057820145,1,1,1
12,2,tool,0,0,animals,1,flashlight.jpg,51,(unused),138.895388415235,147.368887949527,8.43408316465882,1,1.0313007072059,0,1,0
13,2,tool,0,0,animals,1,spoon.jpg,44,(unused),151.722522141491,161.19683762738,9.43620015359102,0,1.31898169835677,0,2,1
14,2,animal,0,0,animals,1,mountainsheep.jpg,7,(unused),165.550448405639,171.638674134286,6.03102472411968,0,1.8275556048402,0,2,1
15,2,animal,0,0,animals,1,seahorse.jpg,42,(unused),176.008983054074,182.997949104843,6.94845860093904,0,1.41763390283722,0,2,1
16,2,animal,1,0,animals,1,firebug.jpg,15,(unused),187.368284324957,196.408761810595,8.99770624877805,1,0.812423615688658,1,1,1
17,2,tool,0,0,animals,1,electricbreaker.jpg,41,(unused),200.979360547152,207.100926430112,6.07548708303154,1,1.25871802796019,0,1,0
18,2,tool,0,0,animals,1,hourglass.jpg,10,(unused),211.454593657852,218.610311797893,7.10252434938754,0,1.92280319996416,0,2,1
19,2,tool,0,0,animals,1,loom.jpg,14,(unused),222.963973573127,229.902851293286,6.88673055837997,0,1.00072176645472,0,2,1
20,2,animal,1,0,animals,1,phasmagigas.jpg,36,(unused),234.256438337104,242.946832495609,8.63577300449924,1,0.629217144012273,1,1,1
21,2,tool,0,0,animals,1,anvil.jpg,6,(unused),247.500679207042,254.973316603797,7.42384147407784,0,0.730259150124311,0,2,1
22,2,animal,1,0,animals,1,leopard.jpg,50,(unused),259.326979661973,265.815515926916,6.43566839188652,0,0.48641695464994,1,2,0
23,2,animal,1,0,animals,1,heckcattle.jpg,37,(unused),270.369341469794,279.459951547566,9.02887652743489,1,1.27180404414003,1,1,1
24,2,tool,0,0,animals,1,vegetablepeeler.jpg,3,(unused),284.013762657337,291.302937635334,7.22838683325945,1,2.81619290152594,0,1,0
25,2,tool,0,0,animals,1,blower.jpg,27,(unused),295.65663052193,302.762280216974,7.04868700379596,0,0.74822932940242,0,2,1
26,2,animal,1,0,animals,1,rhino.jpg,35,(unused),307.115951935014,313.387544823919,6.23111136044441,0,1.81038534037452,1,2,0
27,2,tool,0,0,animals,1,blender.jpg,24,(unused),317.941480379138,325.781110288639,7.78423450073441,0,1.53036800781774,0,2,1
28,2,tool,0,0,animals,1,floorbuffer.jpg,56,(unused),330.151447753904,338.274642332701,8.07878498827974,1,1.22033590858973,0,1,0
29,2,tool,0,0,animals,1,kettle.jpg,58,(unused),342.628280373493,349.88394167917,7.20496216770184,0,1.12950644760531,0,2,1
30,2,animal,0,0,animals,1,squirel.jpg,46,(unused),354.237758049007,360.309233035471,6.02998809090061,1,1.15163560658493,0,1,0
31,2,tool,0,0,animals,1,scale.jpg,43,(unused),364.662929450159,373.803506941185,9.09586614730178,1,1.3358264160961,0,1,0
32,2,tool,0,0,animals,1,italiangardeningtool.jpg,2,(unused),378.157279690968,386.864266148224,8.65554574959362,1,0.659671318579512,0,1,0
33,2,animal,1,0,animals,1,mahimahi.jpg,39,(unused),391.217922791686,399.224332052994,7.95223776109193,1,1.86611477031147,1,1,1
34,2,tool,0,0,animals,1,washboard.jpg,59,(unused),403.778214686824,410.867169447696,7.02873607095813,1,2.26278046621837,0,1,0
35,2,tool,0,0,animals,1,pressuregauge.jpg,38,(unused),415.220835392494,422.676838153387,7.3957517986551,0,1.47863718973622,0,2,1
36,2,tool,0,0,animals,1,bucket.jpg,22,(unused),427.030459515923,436.538147871165,9.46359361379638,0,1.08582449168216,0,2,1
37,2,animal,0,0,animals,1,flounder.jpg,29,(unused),440.891812853755,448.914881447573,7.96705110549096,1,1.32859863730619,0,1,0
38,2,tool,0,0,animals,1,abacus.jpg,12,(unused),453.285233666679,461.875359754294,8.5455464710653,1,0.991630834038006,0,1,0
39,2,animal,1,0,animals,1,porcupine.jpg,60,(unused),466.229079582688,475.836789683809,9.55611029948569,1,2.38885781740328,1,1,1
40,2,tool,0,0,animals,1,nailgun.jpg,25,(unused),480.390650828348,486.695760276195,6.25183323567424,1,1.54625981982008,0,1,0
41,2,tool,0,0,animals,1,compass.jpg,32,(unused),491.049354696933,500.039771435231,8.9295816729192,0,1.74478462808429,0,2,1
42,2,animal,1,0,animals,1,tragopan.jpg,55,(unused),504.410282097768,511.79952468685,7.32727338103374,1,1.24950265009466,1,1,1
43,2,animal,0,0,animals,1,partridge.jpg,33,(unused),516.370060559212,525.477326441402,9.05012369876652,1,1.97222536254367,0,1,0
44,2,tool,0,0,animals,1,sawblade.jpg,34,(unused),529.831021252412,539.755669533653,9.87175783964014,0,1.00438745466408,0,2,1
45,2,tool,0,0,animals,1,shovel.jpg,52,(unused),544.109310781803,552.399428081259,8.23716101392049,0,0.903294130841459,0,2,1
46,2,animal,1,0,animals,1,hippo.jpg,45,(unused),556.75297471238,564.792883533638,7.9813029673556,1,1.71132002832428,1,1,1
47,2,tool,0,0,animals,1,viceclamp.jpg,4,(unused),569.346599384909,575.851817754597,6.46538010024243,0,1.07473922474037,0,2,1
48,2,animal,0,0,animals,1,emu.jpg,26,(unused),580.205467341874,589.86328694216,9.6101168798902,1,1.00290854239393,0,1,0
49,2,tool,0,0,animals,1,television.jpg,54,(unused),594.216879438485,601.856170458655,7.58511281944374,0,1.23252771366469,0,2,1
50,2,animal,0,0,animals,1,racoon.jpg,23,(unused),606.226704855634,613.382326774967,7.10691948371787,1,1.3798319943312,0,1,0
