trial,phase,object,toShock,seenBefore,shockedCategory,responseSide,filename,num,name,onsetFixationCross,onsetCertaintyOptions,interTrialTime,wasShocked,buttonPressedCertainty,certaintyRT
1,4,tool,0,0,tools,2,campingstove.jpg,318,(unused),0.0184774162316899,3.07062215356746,1.93317114162506,0,4,0.533601089375225
2,1,animal,0,1,tools,2,shark.jpg,110,(unused),3.62136062932768,5.93980598943381,1.22621307738969,0,2,1.70355202657811
3,1,animal,0,1,tools,2,stinkbug.jpg,62,(unused),7.65803632895404,10.193232318743,1.44334606356059,0,1,1.6362188944513
4,1,animal,0,1,tools,2,goldfish.jpg,98,(unused),11.8447248098601,14.7469574766328,1.80719215581159,0,4,0.242672206215502
5,3,tool,0,1,tools,2,faxmachine.jpg,174,(unused),14.9973015448522,17.8494925321411,1.76201274021313,0,2,0.899284907118272
6,4,tool,0,0,tools,2,laptop.jpg,228,(unused),18.7670171910304,21.5856788867368,1.72733019657777,0,4,0.376172920330646
7,4,tool,0,0,tools,2,handdrill.jpg,195,(unused),21.9696599813469,24.1045565331588,1.04958053845542,0,4,0.856373161459487
8,1,animal,0,1,tools,2,prayingmantis.jpg,96,(unused),24.9720571529797,27.5573695534513,1.50367662484617,0,4,0.152782118811956
9,3,tool,0,1,tools,2,binoculars.jpg,144,(unused),27.7243110363561,30.2595708523622,1.45340956676011,0,2,1.29871290873962
10,4,animal,0,0,tools,2,iguana.jpg,253,(unused),31.577429588584,34.0960320445793,1.43676925215689,0,3,1.84438505815342
11,1,animal,0,1,tools,2,caiman.jpg,64,(unused),35.9476649533772,38.6163610158128,1.57664389279741,0,1,0.403183919288495
12,4,animal,0,0,tools,2,lion.jpg,265,(unused),39.0334781811835,41.9357730704996,1.8160489939579,0,4,0.298882898165175
13,4,animal,0,0,tools,2,koi.jpg,267,(unused),42.2527978963335,44.7880561086658,1.4371456794144,0,4,0.00540770170846372
14,4,tool,0,0,tools,2,bevelgauge.jpg,296,(unused),44.8047169967613,46.9565092145185,1.06077341328531,0,1,0.0973315682531393
15,4,animal,0,0,tools,2,llama.jpg,298,(unused),47.0733734163805,49.4251530613328,1.25473517639126,0,1,1.28683096864188
16,1,animal,0,1,tools,2,crow.jpg,75,(unused),50.7263274958223,52.9280491358932,1.10555327439047,0,4,0.642972927129449
17,4,animal,0,0,tools,2,redpanda.jpg,190,(unused),53.5786618515504,56.0305306286955,1.36825568879868,0,1,0.885752786654848
18,2,tool,0,1,tools,2,blender.jpg,24,(unused),56.9314053044727,59.3999548552674,1.3759658100043,0,1,3.68342239200138
19,3,animal,0,1,tools,2,duck.jpg,149,(unused),63.1030805117716,65.3047649466098,1.1128899937906,0,1,1.03680763518605
20,2,tool,0,1,tools,2,viceclamp.jpg,4,(unused),66.3557309836851,68.8910052327556,1.43747016222935,0,1,0.649692320454051
21,3,animal,0,1,tools,2,otter.jpg,146,(unused),69.5582891000213,71.7265882531865,1.06981517837617,0,4,0.3472054393078
22,2,animal,0,1,tools,2,armadillo.jpg,57,(unused),72.0936618146661,74.7624412681416,1.57207954256968,0,3,0.846365595325551
23,1,animal,0,1,tools,2,ram.jpg,97,(unused),75.613230644507,78.5155127044327,1.80457792436638,0,1,0.0555244331244467
24,4,animal,0,0,tools,2,boar.jpg,197,(unused),78.5822906446811,81.6013224041581,1.9260826099399,0,4,0.575731525146693
25,4,animal,0,0,tools,2,watusi.jpg,349,(unused),82.1852075349252,84.4369897778306,1.15596371612747,0,4,0.0460149680820905
26,3,tool,0,1,tools,2,lantern.jpg,140,(unused),84.4871161312913,86.8387684445424,1.2460203329921,0,2,1.84464485331227
27,4,tool,0,0,tools,2,auger.jpg,192,(unused),88.6905533816189,91.6428517829809,1.86185955538717,0,4,0.165675656358871
28,4,animal,0,0,tools,2,dove.jpg,313,(unused),91.8264134206656,94.9121583319684,1.98466925820293,0,4,2.10451281963833
29,1,tool,0,1,tools,2,reflexhammer.jpg,93,(unused),97.0306438480675,99.465862962832,1.36405709286987,0,1,0.775923581126335
30,3,tool,0,1,tools,2,drill.jpg,124,(unused),100.249959393665,103.0020772855,1.65704524585731,0,4,0.871838350351027
31,4,tool,0,0,tools,2,stroller.jpg,242,(unused),103.886223718882,106.371485796069,1.3916314413103,0,1,0.418619600581223
32,4,animal,0,0,tools,2,grasshopper.jpg,225,(unused),106.805236907816,109.140397360194,1.24543655181235,0,1,0.0305613256405195
33,1,animal,0,1,tools,2,cheetah.jpg,67,(unused),109.173736135326,111.458941506608,1.18722974728074,0,4,1.02230336765024
34,4,tool,0,0,tools,2,fishtailchisel.jpg,198,(unused),112.49317545247,115.278706529904,1.7038178640412,0,4,1.62377534777988
35,1,tool,0,1,tools,2,avocadoslicer.jpg,76,(unused),116.913459873644,119.115148798768,1.10582784754381,0,1,0.213367953689158
36,4,animal,0,0,tools,2,reindeer.jpg,237,(unused),119.348758530632,122.300984125201,1.84766421916571,0,1,0.62072131135028
37,1,tool,0,1,tools,2,thermometer.jpg,79,(unused),122.935042757441,125.236832681943,1.2243048298027,0,3,2.64899087352387
38,3,animal,0,1,tools,2,lobsterspiny.jpg,155,(unused),127.889044260404,130.390990639324,1.41530809048607,0,3,1.00296145765606
39,4,tool,0,0,tools,2,razorblade.jpg,276,(unused),131.408619825675,133.510195884235,1.00218114137105,0,4,0.451947149998887
40,1,animal,0,1,tools,2,pelican.jpg,92,(unused),133.977372369502,137.063084886593,1.99898407983607,0,2,1.64221920043383
41,2,animal,0,1,tools,2,cat.jpg,8,(unused),138.714540493214,141.099674950037,1.28523502852288,0,1,2.36580516905815
42,4,animal,0,0,tools,2,chipmunk.jpg,331,(unused),143.48509999256,145.853564580715,1.2768388233052,0,4,0.0530031371381483
43,1,tool,0,1,tools,2,magnifyingglass.jpg,74,(unused),145.920412120407,148.155424104662,1.14535931625644,0,4,1.38324223528252
44,4,animal,0,0,tools,2,mole.jpg,183,(unused),149.556655597864,151.825078843309,1.17332663164082,0,4,0.4186705974098
45,4,tool,0,0,tools,2,lawnmower.jpg,229,(unused),152.258869726167,154.960969672893,1.6143393766176,0,1,0.164962662976905
46,1,tool,0,1,tools,2,ducttape.jpg,83,(unused),155.144543819233,157.563124818073,1.32500101722894,0,4,1.1758541741201
47,1,animal,0,1,tools,2,baldeagle.jpg,71,(unused),158.747487651199,161.149367028627,1.30402682239707,0,1,1.34783985267313
48,4,animal,0,0,tools,2,marlin.jpg,304,(unused),162.517204259582,165.302728601588,1.69423093489078,0,4,0.433521258491965
49,1,animal,0,1,tools,2,wasp.jpg,104,(unused),165.753191277523,168.138366788397,1.28313380276316,0,1,1.04667760610573
50,3,animal,0,1,tools,2,shrimp.jpg,177,(unused),169.189063408268,171.591190713671,1.30758805278024,0,1,0.724387598373141
51,2,tool,0,1,tools,2,vegetablepeeler.jpg,3,(unused),172.325144754303,175.127360454206,1.71302249295891,0,1,0.123316857434475
52,4,animal,0,0,tools,2,rosechafer.jpg,335,(unused),175.260903826045,178.129799642093,1.78129735688015,0,4,0.226026071919478
53,4,animal,0,0,tools,2,lobster.jpg,289,(unused),178.363432466858,180.848633283706,1.39317901387578,0,4,2.19234571426023
54,2,tool,0,1,tools,2,abacus.jpg,12,(unused),183.050622416571,186.086391389457,1.94122679356319,0,1,0.30865088498831
55,4,tool,0,0,tools,2,trowel.jpg,226,(unused),186.403336041158,188.738450949199,1.23541528856935,0,1,1.16584307990706
56,3,tool,0,1,tools,2,jumpercables.jpg,167,(unused),189.922879532953,192.674795682622,1.64790866842266,0,1,0.776578521514239
57,4,tool,0,0,tools,2,crank.jpg,235,(unused),193.459070121247,195.961009764738,1.41137455607055,0,4,1.99853852524757
58,4,animal,0,0,tools,2,pig.jpg,317,(unused),197.979381131334,200.564741321286,1.48963327404282,0,4,0.218841933921794
59,4,animal,0,0,tools,2,pachnoda.jpg,232,(unused),200.798353939763,203.667224738498,1.77724873781842,0,4,0.574550259008902
60,4,tool,0,0,tools,2,duster.jpg,211,(unused),204.251145470826,206.419501394043,1.0735180321443,0,4,0.545374300387266
61,1,tool,0,1,tools,2,paintgun.jpg,94,(unused),206.970045504533,209.28848605362,1.23051993043215,0,4,0.564507732786296
62,4,tool,0,0,tools,2,weldershammer.jpg,202,(unused),209.872364448956,212.240842187239,1.2847595521956,0,4,0.226261811971199
63,4,tool,0,0,tools,2,mop.jpg,194,(unused),212.474524084422,214.876373312783,1.29625023334005,0,4,0.716848727724937
64,4,animal,0,0,tools,2,owl.jpg,312,(unused),215.610388613755,218.512636355061,1.80234940090723,0,1,0.190654479847581
