trial,phase,object,toShock,seenBefore,shockedCategory,responseSide,filename,num,name,onsetFixationCross,onsetCertaintyOptions,interTrialTime,wasShocked,buttonPressedCertainty,certaintyRT
1,4,animal,0,0,animals,2,a_129.jpg,129,tbd,0.0329661965620289,2.66562920707793,1.38044742362989,0,3,1.68890761973012
2,1,tool,0,1,animals,2,t_337.jpg,337,tbd,4.39867033059522,7.33133324489108,1.83595544671582,0,1,0.848205802998109
3,4,animal,0,0,animals,2,a_149.jpg,149,tbd,8.19804528469035,10.8973753681355,1.59436829126911,0,3,0.547285393395441
4,4,animal,0,0,animals,2,a_089.jpg,89,tbd,11.4640846175512,13.5802383400992,1.02067757748704,0,3,0.861593229145228
5,4,animal,0,0,animals,2,a_140.jpg,140,tbd,14.4468592915175,17.3295227029505,1.78104858686802,0,2,0.778447498319565
6,4,tool,0,0,animals,2,t_340.jpg,340,tbd,18.1128644983089,20.5622429323648,1.3571983671121,0,2,0.895830593278333
7,1,tool,0,1,animals,2,t_252.jpg,252,tbd,21.4622173057394,23.6616582026904,1.08776005309831,0,1,0.292508304945841
8,1,tool,0,1,animals,2,t_358.jpg,358,tbd,23.961748553384,26.5277759228766,1.47168871817229,0,2,0.284505677494963
9,1,animal,0,1,animals,2,a_118.jpg,118,tbd,26.8278916115353,29.1606211101546,1.2341155826097,0,1,0.23973702113517
10,4,animal,0,0,animals,2,a_083.jpg,83,tbd,29.4106660930611,32.143391935316,1.64810332328656,0,3,0.560956348165291
11,4,tool,0,0,animals,2,t_313.jpg,313,tbd,32.7100652625531,35.6927433956648,1.87473059162311,0,2,0.244831876533908
12,4,tool,0,0,animals,2,t_331.jpg,331,tbd,35.9427896615061,38.9253170497618,1.88565872546516,0,4,0.689452225614104
13,4,animal,0,0,animals,2,a_065.jpg,65,tbd,39.6254473638787,42.041549672809,1.31429036081334,0,4,0.32025145238913
14,3,animal,0,1,animals,2,a_096.jpg,96,tbd,42.3748901691956,44.9409839305717,1.46286563873035,0,1,0.485847884034001
15,4,tool,0,0,animals,2,t_314.jpg,314,tbd,45.4409856946072,48.5236156855849,1.9866381998393,0,4,0.555642110891085
16,4,animal,0,0,animals,2,a_136.jpg,136,tbd,49.090271051733,51.4064189369269,1.22783203515417,0,4,0.242701242324756
17,2,tool,0,1,animals,2,t_305.jpg,305,tbd,51.6565001627457,53.8726464763445,1.10644096330991,0,1,0.376504300905708
18,3,tool,0,1,animals,2,t_334.jpg,334,tbd,54.2560256051097,56.7887524737125,1.43062656148307,0,3,0.786498556564538
19,4,tool,0,0,animals,2,t_209.jpg,209,tbd,57.5887159742133,60.287971326698,1.59601532257672,0,3,0.591345228198406
20,2,animal,0,1,animals,2,a_128.jpg,128,tbd,60.8880554872305,63.9707015148949,1.98571716596282,0,2,0.744769814556093
21,3,tool,0,1,animals,2,t_241.jpg,241,tbd,64.7206494758464,67.7366656356949,1.91472390582999,0,3,1.26615778338464
22,4,tool,0,0,animals,2,t_214.jpg,214,tbd,69.0198597331678,71.4692875602191,1.35651305680402,0,4,0.26053467952238
23,1,tool,0,1,animals,2,t_218.jpg,218,tbd,71.7360065278672,74.6520211161203,1.81650514526718,0,3,1.12486078105826
24,4,animal,0,0,animals,2,a_029.jpg,29,tbd,75.785244929574,78.6179142906178,1.72121600792162,0,3,0.687094191185906
25,1,tool,0,1,animals,2,t_199.jpg,199,tbd,79.3179432528741,82.0172973913495,1.59400000861117,0,2,0.917902526799253
26,1,animal,0,1,animals,2,a_137.jpg,137,tbd,82.9505815668924,85.4165015226567,1.36142789242558,0,3,0.529806046242584
27,4,animal,0,0,animals,2,a_152.jpg,152,tbd,85.9666416672628,88.549371887533,1.48036510271935,0,4,1.3300707157216
28,4,tool,0,0,animals,2,t_275.jpg,275,tbd,89.8992850168006,92.0820769462418,1.08616426606099,0,4,1.35555044518901
29,3,tool,0,1,animals,2,t_323.jpg,323,tbd,93.4485559729817,96.1813039458643,1.62540364774004,0,3,1.02732404822518
30,4,animal,0,0,animals,2,a_053.jpg,53,tbd,97.2145454317467,100.213842062663,1.90497689246883,0,3,0.728982017127464
31,4,tool,0,0,animals,2,t_283.jpg,283,tbd,100.947170563608,103.646597508642,1.59457199016142,0,3,0.258267092007827
32,3,animal,0,1,animals,2,a_177.jpg,177,tbd,103.913259385685,106.879276042671,1.86834266118072,0,2,0.351766428570045
33,1,tool,0,1,animals,2,t_256.jpg,256,tbd,107.245927944894,110.145318903603,1.80834556696861,0,4,0.772732664608839
34,3,animal,0,1,animals,2,a_071.jpg,71,tbd,110.928589496072,113.827943249667,1.80163322991631,0,3,0.836363030524353
35,4,animal,0,0,animals,2,a_101.jpg,101,tbd,114.67793030806,117.760522131724,1.97943539292251,0,4,0.823916316425311
36,3,animal,0,1,animals,2,a_107.jpg,107,tbd,118.593810188145,121.326535068198,1.64841776767216,0,1,0.560033917940018
37,4,tool,0,0,animals,2,t_260.jpg,260,tbd,121.893174076926,124.475937012037,1.47793270192778,0,4,0.445767392695643
38,2,animal,0,1,animals,2,a_001.jpg,1,tbd,124.92596332824,127.275422298537,1.24190021536122,0,1,0.301255355398098
39,4,animal,0,0,animals,2,a_150.jpg,150,tbd,127.592136278776,130.37480036375,1.68946740193179,0,4,0.227051360402811
40,1,animal,0,1,animals,2,a_138.jpg,138,tbd,130.608216585371,133.507530567983,1.80241266791906,0,2,0.956449269411223
41,4,animal,0,0,animals,2,a_016.jpg,16,tbd,134.474160147139,137.456819677694,1.88884885148349,0,4,0.222271465532913
42,2,tool,0,1,animals,2,t_328.jpg,328,tbd,137.690217938226,139.8729826053,1.08491333474178,0,1,1.10115470915162
43,4,animal,0,0,animals,2,a_068.jpg,68,tbd,140.98957348793,144.072194498363,1.98881239993599,0,4,0.549032430056286
44,4,animal,0,0,animals,2,a_120.jpg,120,tbd,144.638856279186,146.805048954846,1.06901021744774,0,3,0.268372449832668
45,4,animal,0,0,animals,2,a_174.jpg,174,tbd,147.088420418075,149.53786652695,1.36278394298802,0,3,1.2156098258331
46,3,tool,0,1,animals,2,t_322.jpg,322,tbd,150.771063366696,153.070494288828,1.20418473389434,0,4,0.639089652162056
47,1,tool,0,1,animals,2,t_321.jpg,321,tbd,153.720509315204,156.736527720188,1.91221029677649,0,2,0.628377786842066
48,4,tool,0,0,animals,2,t_324.jpg,324,tbd,157.369791785726,160.169183738709,1.71196781027684,0,3,0.269626839474768
49,1,animal,0,1,animals,2,a_157.jpg,157,tbd,160.452578294767,163.268566935661,1.70748112549945,0,4,0.770442625732585
50,4,animal,0,0,animals,2,a_099.jpg,99,tbd,164.051906165149,167.134502479085,1.98813482563366,0,4,0.798529279007653
51,1,tool,0,1,animals,2,t_293.jpg,293,tbd,167.951128417913,171.01706389719,1.96777125827137,0,2,1.15622212577932
52,4,animal,0,0,animals,2,a_056.jpg,56,tbd,172.183683148719,175.216300486751,1.9381108285832,0,2,0.832135439148033
53,4,animal,0,0,animals,2,a_036.jpg,36,tbd,176.066299412293,178.749071753937,1.58386763985563,0,2,1.91057490653566
54,2,animal,0,1,animals,2,a_176.jpg,176,tbd,180.665445747381,183.714727127408,1.94968400164603,0,1,1.00194182181372
55,4,tool,0,0,animals,2,t_284.jpg,284,tbd,184.731273780856,186.930749637785,1.09095590874488,0,4,0.259070209282982
56,2,tool,0,1,animals,2,t_234.jpg,234,tbd,187.197495547066,189.696926084318,1.41792891607925,0,2,1.28102699939268
57,1,tool,0,1,animals,2,t_326.jpg,326,tbd,190.996816617894,193.77946370398,1.68191829118549,0,2,0.64451101450436
58,4,animal,0,0,animals,2,a_154.jpg,154,tbd,194.429451467988,197.495430887787,1.97366085873567,0,4,0.66267480745023
59,4,tool,0,0,animals,2,t_220.jpg,220,tbd,198.162066657103,200.594747051388,1.32833049079426,0,2,1.34756642029515
60,2,tool,0,1,animals,2,t_308.jpg,308,tbd,201.961375219315,204.844060119909,1.78324799980746,0,2,1.25641838275237
61,4,tool,0,0,animals,2,t_238.jpg,238,tbd,206.110585685114,208.943260177897,1.73333626141983,0,4,0.684328504179121
62,2,animal,0,1,animals,2,a_126.jpg,126,tbd,209.643216975063,211.84273132004,1.0981712933464,0,1,1.41897265491002
63,4,animal,0,0,animals,2,a_139.jpg,139,tbd,213.275877740443,215.508675266688,1.12715417880204,0,4,0.281188649195656
64,4,animal,0,0,animals,2,a_153.jpg,153,tbd,215.808700829166,218.258197293237,1.35176541326337,0,4,0.805642832541935
65,2,tool,0,1,animals,2,t_290.jpg,290,tbd,219.074777046407,222.09079448919,1.90811289117342,0,3,1.14717839662126
66,4,tool,0,0,animals,2,t_319.jpg,319,tbd,223.257326821877,225.740060602292,1.38164537956246,0,3,1.09704803439399
67,4,animal,0,0,animals,2,a_169.jpg,169,tbd,226.856650201988,229.539266529708,1.57655981036577,0,4,0.72902884425298
68,4,animal,0,0,animals,2,a_066.jpg,66,tbd,230.272697986182,233.088710040639,1.72137494619305,0,3,0.754753614294941
69,4,animal,0,0,animals,2,a_158.jpg,158,tbd,233.855329099728,236.238138284644,1.28065210074705,0,4,0.257374810753618
70,3,tool,0,1,animals,2,t_263.jpg,263,tbd,236.504854686423,239.037579951357,1.42834668222194,0,2,0.647964996109067
71,3,animal,0,1,animals,2,a_024.jpg,24,tbd,239.704293338237,242.253619460621,1.45049581555541,0,3,0.85399889574046
72,4,animal,0,0,animals,2,a_135.jpg,135,tbd,243.120247788915,245.753006378084,1.540746619024,0,4,0.800851711991299
73,4,tool,0,0,animals,2,t_191.jpg,191,tbd,246.569622374166,249.36881867957,1.70251650472782,0,3,0.70623173175477
74,4,animal,0,0,animals,2,a_008.jpg,8,tbd,250.085619129624,253.13489184984,1.94286238956562,0,4,0.210205462378781
