trial,phase,object,toShock,seenBefore,shockedCategory,responseSide,filename,num,name,onsetFixationCross,onsetCertaintyOptions,interTrialTime,wasShocked,buttonPressedCertainty,certaintyRT
1,3,tool,0,1,tools,2,t_268.jpg,268,tbd,0.022805712796071,2.45554903645825,1.20569257034508,0,2,1.4810951122081
2,4,tool,0,0,tools,2,t_327.jpg,327,tbd,3.97223162245928,6.12173983369303,1.04437514242917,0,4,1.08409555931803
3,1,animal,0,1,tools,2,a_171.jpg,171,tbd,7.22166952775297,9.98761489567551,1.65691781733053,0,1,1.19631211444266
4,1,animal,0,1,tools,2,a_028.jpg,28,tbd,11.2043457849368,13.6704671101525,1.36510423163308,0,3,1.72373046878283
5,4,tool,0,0,tools,2,t_285.jpg,285,tbd,15.4035925619933,18.4029308778963,1.88989558718091,0,2,2.90851705882324
6,2,animal,0,1,tools,2,a_068.jpg,68,tbd,21.319240508848,23.5185475847943,1.09519618707682,0,1,0.788091836182502
7,4,tool,0,0,tools,2,t_337.jpg,337,tbd,24.3187308549313,26.9847984884759,1.57242242716037,0,4,0.522009192063251
8,3,animal,0,1,tools,2,a_179.jpg,179,tbd,27.5181806596338,29.784288962855,1.17825893311934,0,3,0.840641035907083
9,4,tool,0,0,tools,2,t_188.jpg,188,tbd,30.6342839272561,33.6836058534082,1.94450711381634,0,4,1.11656587013294
10,4,tool,0,0,tools,2,t_204.jpg,204,tbd,34.8169164356709,37.2663346476033,1.33876388725284,0,1,0.68792800281517
11,1,animal,0,1,tools,2,a_102.jpg,102,tbd,37.9663576124999,40.982340025751,1.90464303268913,0,3,2.40226906745011
12,1,animal,0,1,tools,2,a_012.jpg,12,tbd,43.3987500479398,46.4314528943682,1.92831691684978,0,3,1.12935500812227
13,4,tool,0,0,tools,2,t_292.jpg,292,tbd,47.5646390299858,50.5640219285788,1.89108778360879,0,4,0.622973589417597
14,1,tool,0,1,tools,2,t_272.jpg,272,tbd,51.197397941552,53.796812208398,1.49558246633999,0,1,0.700341876434777
15,4,animal,0,0,tools,2,a_091.jpg,91,tbd,54.5134962697975,57.3628468699958,1.7481980265296,0,3,3.69261656225535
16,1,tool,0,1,tools,2,t_240.jpg,240,tbd,61.0623492758577,64.0283689268808,1.868011394446,0,2,2.30237112652867
17,3,tool,0,1,tools,2,t_302.jpg,302,tbd,66.3447482222946,68.4609098643746,1.02951173226921,0,2,1.79704686283276
18,4,animal,0,0,tools,2,a_011.jpg,11,tbd,70.2774318885445,73.2267872356765,1.84424097535839,0,4,0.668317713258602
19,4,tool,0,0,tools,2,t_230.jpg,230,tbd,73.9100535239145,76.8094842767332,1.80181669914524,0,3,1.59588206789022
20,1,animal,0,1,tools,2,a_045.jpg,45,tbd,78.409304919609,80.8754746763802,1.36484349845091,0,2,3.59619478819786
21,4,tool,0,0,tools,2,t_218.jpg,218,tbd,84.4915840380395,86.6244577740881,1.03839913281004,0,4,1.08647447882595
22,4,tool,0,0,tools,2,t_343.jpg,343,tbd,87.7243810533728,90.8070566049309,1.97610515396269,0,3,1.82601470620421
23,3,tool,0,1,tools,2,t_199.jpg,199,tbd,92.6402089346811,95.7062105601854,1.97559223849436,0,3,1.02407218387589
24,1,tool,0,1,tools,2,t_265.jpg,265,tbd,96.7394939438,99.5722007673889,1.73599737147018,0,1,1.55630161986983
25,4,animal,0,0,tools,2,a_018.jpg,18,tbd,101.138726480055,103.338229527394,1.09797163301705,0,3,4.97169297570326
26,4,animal,0,0,tools,2,a_121.jpg,121,tbd,108.32080539334,110.903463625005,1.48003569358135,0,4,0.66257713062987
27,1,tool,0,1,tools,2,t_330.jpg,330,tbd,111.570262222222,114.602821377678,1.928070855468,0,2,2.05232862864068
28,3,animal,0,1,tools,2,a_136.jpg,136,tbd,116.669359599156,119.552097823071,1.77647065954031,0,4,0.483353433936372
29,4,animal,0,0,tools,2,a_076.jpg,76,tbd,120.052145613149,123.068136365609,1.92413468615114,0,4,0.100406729815859
30,2,tool,0,1,tools,2,t_215.jpg,215,tbd,123.184885601128,125.901005483019,1.61890670720278,0,1,0.301677368554465
31,4,animal,0,0,tools,2,a_151.jpg,151,tbd,126.217656123438,128.517179633911,1.19511866439302,0,2,1.83772295451536
32,4,tool,0,0,tools,2,t_333.jpg,333,tbd,130.366993060165,132.816429233469,1.36208199406257,0,4,0.777703427938377
33,1,animal,0,1,tools,2,a_034.jpg,34,tbd,133.599771472649,136.599095355307,1.89065423409249,0,4,0.251169350405235
34,4,tool,0,0,tools,2,t_276.jpg,276,tbd,136.865843211649,139.731940866343,1.76444050700393,0,3,2.98966108272225
35,4,animal,0,0,tools,2,a_071.jpg,71,tbd,142.731498888309,145.247613445936,1.41431123732107,0,2,1.56019282271063
36,4,animal,0,0,tools,2,a_166.jpg,166,tbd,146.814128253483,149.096932934473,1.18951538244657,0,2,2.03101265026862
37,1,animal,0,1,tools,2,a_019.jpg,19,tbd,151.146711592643,153.762802992931,1.51050844894334,0,2,1.90750961832464
38,4,tool,0,0,tools,2,t_219.jpg,219,tbd,155.679245730475,158.595236547083,1.8105556458787,0,3,2.64228815782189
