trial,phase,object,toShock,seenBefore,shockedCategory,responseSide,filename,num,name,onsetFixationCross,onsetStimulus,interTrialTime,response,reactionTime,wasShocked,buttonPressed,isResponseCorrect
1,1,animal,0,0,tools,2,a_174.jpg,174,tbd,0.0151939259885694,5.66406329871097,5.56709699383162,animal,1.36258757940413,0,2,1
2,1,animal,0,0,tools,2,a_117.jpg,117,tbd,8.24702295291172,15.9120565607809,7.61601517843711,animal,0.620785882027121,0,2,1
3,1,tool,0,0,tools,2,t_304.jpg,304,tbd,18.4616963630688,23.3272700189391,4.80907766334767,tool,0.669855904487122,0,1,1
4,1,animal,0,0,tools,2,a_055.jpg,55,tbd,25.893537513648,30.992471048743,5.04677023937187,animal,0.590917744442777,0,2,1
5,1,tool,0,0,tools,2,t_236.jpg,236,tbd,33.5420790985954,37.7577807745147,4.16550068059142,tool,0.644749349405174,0,1,1
6,1,tool,0,0,tools,2,t_247.jpg,247,tbd,40.3074048609506,44.5896227589965,4.23525273286516,tool,0.819034943646329,0,1,1
7,1,animal,0,0,tools,2,a_037.jpg,37,tbd,47.1560361866214,54.4711592305193,7.26351571652928,animal,0.556762386506307,0,2,1
8,1,tool,0,0,tools,2,t_302.jpg,302,tbd,57.0207942218312,64.7691064515548,7.7025838718236,tool,0.655182750917447,0,1,1
9,1,animal,0,0,tools,2,a_141.jpg,141,tbd,67.3187834587188,73.3175245868788,5.95089641726435,animal,0.509925939457389,0,2,1
10,1,tool,0,0,tools,2,t_300.jpg,300,tbd,75.8671236562441,81.9158341384937,5.99014120301179,tool,0.675853907612691,0,1,1
11,1,tool,0,0,tools,2,t_278.jpg,278,tbd,84.4654688090741,92.3304600162155,7.82103257556413,tool,0.791613347306338,0,1,1
12,1,tool,0,0,tools,2,t_213.jpg,213,tbd,94.8800090514378,99.3622419597268,4.44045461777994,tool,0.830041492667078,0,1,1
13,1,animal,0,0,tools,2,a_140.jpg,140,tbd,101.928688101983,107.927385610636,5.95697162769552,animal,0.64117703996817,0,2,1
14,1,tool,0,0,tools,2,t_246.jpg,246,tbd,110.477022205607,117.358881333197,6.83273127183246,tool,0.665896471913584,0,1,1
15,1,animal,0,0,tools,2,a_051.jpg,51,tbd,119.925170958393,126.306984060988,6.33739694416232,animal,0.591085487110831,0,2,1
16,1,animal,0,0,tools,2,a_014.jpg,14,tbd,128.856777814482,135.555307997418,6.64429921668188,animal,0.777954026571024,0,2,1
17,1,animal,0,0,tools,2,a_125.jpg,125,tbd,138.121608206759,143.287148089583,5.1110729004792,animal,0.75337603729713,0,2,1
18,1,tool,0,0,tools,2,t_241.jpg,241,tbd,145.853415905025,150.45235216634,4.54735424367484,tool,0.656269069111659,0,1,1
19,1,tool,0,0,tools,2,t_323.jpg,323,tbd,153.00203045643,157.06779103472,4.02511430299761,tool,0.659016135941783,0,1,1
20,1,animal,0,0,tools,2,a_162.jpg,162,tbd,159.617406461402,164.299746429924,4.62537646128324,animal,0.803277717001038,0,2,1
21,1,tool,0,0,tools,2,t_315.jpg,315,tbd,166.865988907564,174.180999695374,7.26758529815777,tool,0.694420102301592,0,1,1
22,1,animal,0,0,tools,2,a_107.jpg,107,tbd,176.730714869607,183.162665068958,6.37858302900924,animal,0.781886517685052,0,2,1
23,1,tool,0,0,tools,2,t_216.jpg,216,tbd,185.712304229783,192.277547948974,6.51358621085673,tool,0.773336773325354,0,1,1
24,1,tool,0,0,tools,2,t_313.jpg,313,tbd,194.827169469558,199.909430089063,5.04023783915289,tool,0.774544328094635,0,1,1
25,1,animal,0,0,tools,2,a_163.jpg,163,tbd,202.459026592574,208.574299803044,6.07430815210528,animal,0.773004174574453,0,2,1
26,1,tool,0,0,tools,2,t_215.jpg,215,tbd,211.123986752889,217.88904823234,6.71919101303237,tool,0.570545188938922,0,1,1
27,1,animal,0,0,tools,2,a_022.jpg,22,tbd,220.438756671208,225.187700100876,4.705164505364,animal,0.579093008909695,0,2,1
28,1,animal,0,0,tools,2,a_086.jpg,86,tbd,227.75406958826,235.652396363164,7.84382464032231,animal,0.64262931300982,0,2,1
29,1,animal,0,0,tools,2,a_006.jpg,6,tbd,238.202037769111,245.867090941612,7.61356469476616,animal,0.819232835092407,0,2,1
30,1,tool,0,0,tools,2,t_264.jpg,264,tbd,248.433324118034,254.798647122096,6.31485453864738,tool,0.639914640079951,0,1,1
31,1,tool,0,0,tools,2,t_334.jpg,334,tbd,257.348258699996,264.980042054727,7.58833427653245,tool,1.02781683359717,0,1,1
32,1,tool,0,0,tools,2,t_321.jpg,321,tbd,267.5296270119,273.911580274238,6.3347508698246,tool,0.597592812140647,0,1,1
33,1,animal,0,0,tools,2,a_000.jpg,0,tbd,276.477883690895,284.442850490355,7.91596328712881,animal,0.537630100407114,0,2,1
34,1,tool,0,0,tools,2,t_303.jpg,303,tbd,286.992443145087,291.758088356195,4.72395209010487,tool,0.789541741392895,0,1,1
35,1,animal,0,0,tools,2,a_165.jpg,165,tbd,294.307669143855,299.589897305314,5.2296080962672,animal,0.862000480065035,0,2,1
36,1,animal,0,0,tools,2,a_147.jpg,147,tbd,302.156172818317,309.687908736832,7.48052180268628,animal,0.746272151343874,0,2,1
37,1,animal,0,0,tools,2,a_028.jpg,28,tbd,312.254139988863,317.286263190881,4.99670051088317,animal,0.676135830759449,0,2,1
38,1,tool,0,0,tools,2,t_256.jpg,256,tbd,319.836017173648,326.401203161136,6.52672180579505,tool,0.590556921304596,0,1,1
39,1,tool,0,0,tools,2,t_201.jpg,201,tbd,328.950924429271,336.632629990534,7.63834531294363,tool,0.807201548359444,0,1,1
40,1,tool,0,0,tools,2,t_210.jpg,210,tbd,339.182259529409,346.597357203431,7.37421201091684,tool,0.664918881755511,0,1,1
41,1,animal,0,0,tools,2,a_004.jpg,4,tbd,349.163637206677,356.712061756634,7.50157809595495,animal,0.80938637255349,0,2,1
42,1,animal,0,0,tools,2,a_116.jpg,116,tbd,359.26165729795,364.427193652726,5.11118938765793,animal,0.642564525209309,0,2,1
43,1,animal,0,0,tools,2,a_144.jpg,144,tbd,366.976803947699,373.108706774981,6.08555497158955,animal,0.572188938791442,0,2,1
44,1,tool,0,0,tools,2,t_195.jpg,195,tbd,375.641795860451,381.590494828431,5.90066624812053,tool,0.947721473654383,0,1,1
45,1,tool,0,0,tools,2,t_306.jpg,306,tbd,384.156804659724,391.421912484902,7.20489878464028,tool,0.54454026442545,0,1,1
46,1,tool,0,0,tools,2,t_286.jpg,286,tbd,393.971516044512,399.137084793187,5.11467142750446,tool,1.00862521213458,0,1,1
47,1,animal,0,0,tools,2,a_106.jpg,106,tbd,401.686665901578,408.335266180422,6.59552397273499,animal,0.681629002219779,0,2,1
48,1,tool,0,0,tools,2,t_351.jpg,351,tbd,410.884880324174,418.333229213529,7.40777708335516,tool,0.803942914502841,0,1,1
49,1,tool,0,0,tools,2,t_289.jpg,289,tbd,420.882925143862,428.914419391058,7.99564956257277,tool,0.940056307263148,0,1,1
50,1,animal,0,0,tools,2,a_083.jpg,83,tbd,431.464181712847,436.02986707956,4.5157425537871,animal,0.718839650127848,0,2,1
51,1,animal,0,0,tools,2,a_024.jpg,24,tbd,438.596141630367,445.644463706554,7.00795611461791,animal,0.691539290362925,0,2,1
52,1,animal,0,0,tools,2,a_153.jpg,153,tbd,448.194240140538,453.576413104076,5.32450432045709,animal,0.668757398487287,0,2,1
53,1,tool,0,0,tools,2,t_276.jpg,276,tbd,456.1426908622,460.374990723227,4.18669932047902,tool,0.66140237963009,0,1,1
54,1,tool,0,0,tools,2,t_225.jpg,225,tbd,462.924732197456,470.139862329524,7.15887946075978,tool,0.628762799609831,0,1,1
55,1,animal,0,0,tools,2,a_049.jpg,49,tbd,472.689507904983,478.138169828455,5.40921724746982,animal,0.764681508242575,0,2,1
56,1,tool,0,0,tools,2,t_229.jpg,229,tbd,480.704549258522,486.686602396705,5.92788115087389,tool,0.560606997139985,0,1,1
57,1,tool,0,0,tools,2,t_187.jpg,187,tbd,489.252908379216,495.818180002065,6.50621192352391,tool,0.761221454889892,0,1,1
58,1,animal,0,0,tools,2,a_003.jpg,3,tbd,498.367772977528,505.132901169169,6.71715375487503,animal,0.585781226607651,0,2,1
59,1,animal,0,0,tools,2,a_076.jpg,76,tbd,507.699293107771,512.414912195281,4.66663567979582,animal,0.566961653892577,0,2,1
60,1,animal,0,0,tools,2,a_046.jpg,46,tbd,514.98119059487,521.196537862284,6.17181920185499,animal,0.857553214607833,0,2,1
