trial,phase,object,toShock,seenBefore,shockedCategory,responseSide,filename,num,name,onsetFixationCross,onsetForcedChoiceOptions,onsetCertaintyOptions,interTrialTime,wasShocked,buttonPressedForcedChoice,forcedChoiceRT,buttonPressedCertainty,certaintyRT
1,4,animal,0,0,animals,2,a_107.png,107,tbd,0.0159437770707882,1.73368505077087,3.43513664395869,0.594665601148707,0,2,1.62558601065393,4,2.60520192567856
2,2,tool,0,1,animals,2,t_227.png,227,tbd,6.05396104772808,7.48846924270765,10.9244309153037,0.325283161619822,0,2,3.39095816263944,3,4.29498427204817
3,1,tool,0,1,animals,2,t_254.png,254,tbd,15.2278917208678,16.9792985378735,17.7132563402993,0.649297372695324,0,1,0.666256017611886,4,2.76937317914417
4,3,animal,0,1,animals,2,a_072.png,72,tbd,20.498737775506,22.4502871255136,24.9189211753037,0.844103009913045,0,1,2.40136330776295,3,1.74873732952256
5,4,tool,0,0,animals,2,t_191.png,191,tbd,26.6869683044933,28.4884091986823,29.1055802101291,0.692610190461034,0,2,0.573364409647183,4,2.12528276492958
6,2,tool,0,1,animals,2,t_201.png,201,tbd,31.2405885477601,32.7752177840302,34.593356087742,0.419649059352081,0,2,1.75468841229667,3,1.49046435147102
7,4,tool,0,0,animals,2,t_187.png,187,tbd,36.0944276876508,37.5957422642568,39.0135277026166,0.405122507716031,0,2,1.35927115188679,4,2.36848319719138
8,4,animal,0,0,animals,2,a_171.png,171,tbd,41.3986309061365,43.333579751481,44.3176918964236,0.829087457726501,0,1,0.934428068394482,3,1.762451542294
9,4,animal,0,0,animals,2,a_079.png,79,tbd,46.0856788373094,48.07070095378,49.1548967502567,0.879181110703507,0,2,1.026469585413,3,1.32023106344059
10,1,animal,0,1,animals,2,a_053.png,53,tbd,50.4891869779131,52.3574053194316,52.8577697476867,0.762362370952422,0,1,0.44386306724482,4,1.56449627526672
11,3,tool,0,1,animals,2,t_316.png,316,tbd,54.4256600373192,55.7100909458459,56.5607223947954,0.190633981368292,0,1,0.800228529271408,4,0.606658773162053
12,1,animal,0,1,animals,2,a_058.png,58,tbd,57.17780112533,58.3621640391211,59.0126567134721,0.0820986747698614,0,1,0.599257353613211,4,0.604773250601284
13,4,tool,0,0,animals,2,t_199.png,199,tbd,59.6297611911796,61.6480907101759,62.2652342144975,0.916850018636205,0,2,0.567324400421057,4,0.488143471910007
14,1,animal,0,1,animals,2,a_120.png,120,tbd,62.7655877887664,64.0833572153097,65.617895542091,0.208209879377134,0,1,1.47415861386617,3,0.522609608164203
15,4,animal,0,0,animals,2,a_156.png,156,tbd,66.1515843433772,67.3026140170805,67.7695501757335,0.0193530332154741,0,2,0.405920327844797,4,0.475992242081702
16,3,tool,0,1,animals,2,t_197.png,197,tbd,68.2532670404289,70.1214970552974,70.6217233478274,0.750318850262058,0,2,0.456012017835747,4,0.558948124227754
17,3,tool,0,1,animals,2,t_277.png,277,tbd,71.188920747365,73.2905602477949,73.8077566744469,0.988594670849874,0,1,0.458094456422259,4,0.636910938541405
18,4,tool,0,0,animals,2,t_315.png,315,tbd,74.4581839249186,76.2929904172415,76.6433059586452,0.725589555411701,0,2,0.294719208603055,4,0.568415640653257
19,4,tool,0,0,animals,2,t_267.png,267,tbd,77.2270505104461,78.9951682933824,79.3954885814273,0.647860595628027,0,2,0.352662120141758,4,0.264279098184488
20,2,animal,0,1,animals,2,a_088.png,88,tbd,79.6789929268125,81.6640044816741,82.181091666549,0.877612021762855,0,2,0.452816590750444,4,0.429746024670749
21,1,animal,0,1,animals,2,a_051.png,51,tbd,82.6146527714445,83.8488859372228,84.3994643093611,0.12863973771461,0,1,0.483968285327137,4,0.305351088703901
22,2,tool,0,1,animals,2,t_336.png,336,tbd,84.7163132527603,86.3675715790487,87.1349667066352,0.535407058457794,0,1,0.699357862256875,3,0.320963505324471
23,4,tool,0,0,animals,2,t_333.png,333,tbd,87.4685034615868,88.8528757966742,89.2866747503795,0.275449309182916,0,2,0.36815120205938,4,0.443225466358854
24,3,tool,0,1,animals,2,t_326.png,326,tbd,89.7369745283577,91.5051102012221,92.1389528865475,0.661118634183601,0,1,0.585911179376126,3,0.430998254862061
25,3,tool,0,1,animals,2,t_272.png,272,tbd,92.5892331319883,93.7235175678979,94.1238454419836,0.0279424455972795,0,1,0.334566099034419,4,0.275225579905964
26,4,animal,0,0,animals,2,a_090.png,90,tbd,94.4073481062878,95.6416741800131,97.0261467321252,0.139935667716884,0,2,1.31644460584357,3,0.413924184005737
27,2,tool,0,1,animals,2,t_323.png,323,tbd,97.4597724934611,99.5447982059595,100.145332248158,0.967208272461481,0,1,0.53438403626933,4,0.434915833353443
28,2,animal,0,1,animals,2,a_068.png,68,tbd,100.595596375155,102.296923925671,102.713969967019,0.592146779609651,0,1,0.360241740603669,4,0.405274623575679
29,4,animal,0,0,animals,2,a_157.png,157,tbd,103.130927737897,105.115872862887,105.699700538102,0.890911953557044,0,1,0.532392141751188,3,0.387608142966201
