trial,phase,object,toShock,seenBefore,shockedCategory,filename,num,name,onsetFixationCross,onsetStimulus,interTrialTime,response,reactionTime,wasShocked,buttonPressed,isResponseCorrect
1,2,animal,0,0,tools,a_172.png,172,tbd,0.0283953478474359,8.52664508756925,8.37046287437517,0,0.880147218084858,0,2,1
2,2,animal,0,0,tools,a_101.png,101,tbd,13.1260882244774,20.9911870017645,7.81457157618385,0,0.973241692368902,0,2,1
3,2,animal,0,0,tools,a_109.png,109,tbd,25.5572010333544,32.1725934451088,6.56548442685377,0,1.14524253141599,0,2,1
4,2,tool,1,0,tools,t_311.png,311,tbd,36.738546536722,43.0373362046375,6.2503174310553,1,1.2958980210492,1,1,1
5,2,tool,1,0,tools,t_310.png,310,tbd,47.8032211717718,56.984769380746,9.13254802671036,0,1.41510174723999,1,2,0
6,2,animal,0,0,tools,a_083.png,83,tbd,61.7507098353326,70.0990793060719,8.28349758103263,0,1.01542306128567,0,2,1
7,2,animal,0,0,tools,a_177.png,177,tbd,74.6650439442074,81.8302977656249,7.10198191284356,0,0.863645634607565,0,2,1
8,2,animal,0,0,tools,a_120.png,120,tbd,86.3962450839772,95.5611727161513,9.11330284989095,0,1.22438431693126,0,2,1
9,2,tool,1,0,tools,t_349.png,349,tbd,100.110468346242,106.70914396018,6.53724104957385,1,0.823959276630831,1,1,1
10,2,tool,1,0,tools,t_191.png,191,tbd,111.475097244235,120.10674747956,8.56714739147692,1,0.892941085086022,1,1,1
11,2,tool,1,0,tools,t_221.png,221,tbd,124.856004172213,131.704555821409,6.80332064150478,1,0.710626636088818,1,1,1
12,2,animal,0,0,tools,a_062.png,62,tbd,136.453586394674,145.218867735302,8.70608290685931,0,0.545897219207291,0,2,1
13,2,animal,0,0,tools,a_007.png,7,tbd,149.784873427738,156.433552216969,6.59095384483422,0,0.682654224578528,0,2,1
14,2,tool,1,0,tools,t_288.png,288,tbd,160.9994879888,170.714315198307,9.65583493875215,1,0.840562854385098,1,1,1
15,2,animal,0,0,tools,a_174.png,174,tbd,175.46357670201,182.078931908305,6.56675809417519,0,0.773477241415549,0,2,1
16,2,animal,0,0,tools,a_103.png,103,tbd,186.628216633347,194.276709395282,7.58816968357573,0,0.80022026908,0,2,1
17,2,tool,0,0,tools,t_317.png,317,tbd,198.842694560567,205.124794372551,6.21990780074875,1,0.908657184336789,0,1,0
18,2,tool,1,0,tools,t_293.png,293,tbd,209.674088719695,218.222332654082,8.49290732608693,1,1.04466302431138,1,1,1
19,2,animal,0,0,tools,a_168.png,168,tbd,222.988338859696,230.436813467933,7.39115708067991,0,0.592706177512355,0,2,1
20,2,animal,0,0,tools,a_093.png,93,tbd,235.002864384245,243.251258295123,8.19902879640121,1,0.975770059927527,0,1,0
21,2,tool,0,0,tools,t_270.png,270,tbd,247.800546227532,257.515184202375,9.66114456449231,1,0.890527220535205,0,1,0
22,2,animal,0,0,tools,a_029.png,29,tbd,262.064658162081,269.496557738131,7.38577046230146,0,1.27463125213171,0,2,1
23,2,animal,0,0,tools,a_169.png,169,tbd,274.045790503826,280.811070561506,6.71838246857268,0,0.983672691957509,0,2,1
24,2,tool,1,0,tools,t_192.png,192,tbd,285.393792410284,292.775674377888,7.31607708081931,0,1.89257287933196,1,2,0
25,2,tool,1,0,tools,t_226.png,226,tbd,297.541593343115,306.273249929027,8.67305343654818,1,1.11455604578532,1,1,1
26,2,tool,1,0,tools,t_199.png,199,tbd,311.039164403939,320.437349739727,9.34745283429073,1,0.707319519774501,1,1,1
27,2,animal,0,0,tools,a_058.png,58,tbd,325.186583660074,331.851961606601,6.60895335407091,0,1.37503756140723,0,2,1
28,2,animal,0,0,tools,a_043.png,43,tbd,336.417940357152,345.116120047975,8.65075952397596,0,0.632357895923633,0,2,1
29,2,animal,0,0,tools,a_098.png,98,tbd,349.665547821593,356.430877593467,6.71134593534786,0,0.705363025786028,0,2,1
30,2,tool,0,0,tools,t_324.png,324,tbd,360.980140187675,369.095281462578,8.04993580142105,1,0.729238987915778,0,1,0
31,2,tool,1,0,tools,t_313.png,313,tbd,373.661238082295,381.426391769709,7.70879225538304,1,0.783677952039398,1,1,1
32,2,tool,1,0,tools,t_314.png,314,tbd,386.192261020744,393.84082883507,7.59458043758237,1,0.944809665139474,1,1,1
33,2,animal,0,0,tools,a_166.png,166,tbd,398.590074943411,405.005487689874,6.35681168003213,0,0.675695199976872,0,2,1
34,2,tool,1,0,tools,t_335.png,335,tbd,409.571435649699,418.936347116743,9.31273482966782,1,0.815399134326071,1,1,1
35,2,animal,0,0,tools,a_100.png,100,tbd,423.702222461775,430.500733409482,6.75173888062024,0,0.742501772000651,0,2,1
36,2,tool,1,0,tools,t_323.png,323,tbd,435.050178823621,444.18171712183,9.07425790127181,1,0.62109586749375,1,1,1
37,2,tool,1,0,tools,t_225.png,225,tbd,448.947695744086,456.662836954842,7.64731408687234,1,0.753599262491662,1,1,1
38,2,animal,0,0,tools,a_096.png,96,tbd,461.445439040528,469.060616558681,7.54966722509142,0,0.595231337703808,0,2,1
39,2,animal,0,0,tools,a_006.png,6,tbd,473.626564197769,480.625194010504,6.93431491180877,0,0.543296365149217,0,2,1
