trial,phase,object,toShock,seenBefore,shockedCategory,responseSide,filename,num,name,onsetFixationCross,onsetForcedChoiceOptions,onsetCertaintyOptions,interTrialTime,wasShocked,buttonPressedForcedChoice,forcedChoiceRT,buttonPressedCertainty,certaintyRT
1,4,tool,0,0,tools,1,t_198.png,198,tbd,0.0162147317132622,1.33379306946517,3.05188454225936,0.218128594729398,0,2,1.66467321079108,3,3.44668950445703
2,3,animal,0,1,tools,1,a_037.png,37,tbd,6.5045503468391,8.3560923710611,9.79058075899593,0.747098637595903,0,2,1.37946614255634,3,1.92306301016288
3,4,tool,0,0,tools,1,t_288.png,288,tbd,11.7253293951362,13.1765651289606,15.1948408517601,0.360352824123241,0,2,1.95812286371438,3,1.30290810103179
4,4,tool,0,0,tools,1,t_307.png,307,tbd,16.5124266859784,18.3972611502468,19.097870771162,0.775656965848835,0,2,0.642511143465526,4,0.787840556633455
5,4,tool,0,0,tools,1,t_337.png,337,tbd,19.8984476004807,22.0001738192368,23.3011778061191,0.982788426490509,0,2,1.2465729947362,3,1.24266930919839
6,4,animal,0,0,tools,1,a_064.png,64,tbd,24.5521157669718,25.8198589087624,27.9715795670527,0.152359322446073,0,1,2.09403011275936,3,1.9373450575622
7,4,tool,0,0,tools,1,t_323.png,323,tbd,29.9230020547329,31.1574073964257,32.7420107404141,0.119135712044147,0,2,1.5295531298143,4,1.46697765160206
8,4,tool,0,0,tools,1,t_208.png,208,tbd,34.2264650873112,35.4441062795522,36.4282479149806,0.0983410901373326,0,2,0.919913199628354,4,1.91582383650893
9,4,animal,0,0,tools,1,a_083.png,83,tbd,38.3629974572505,40.2478986600217,41.6154993826167,0.768845231941021,0,2,1.32118990348317,3,1.8695683808437
10,4,animal,0,0,tools,1,a_045.png,45,tbd,43.5003671197337,44.8348841525913,46.4194293534711,0.208365869493438,0,2,1.52217936982561,3,2.35284427784063
11,1,animal,0,1,tools,1,a_054.png,54,tbd,48.7878936649722,50.5393613219712,51.3400079353632,0.637474839423245,0,1,0.737813117342739,3,2.24120803620826
