trial,phase,object,toShock,seenBefore,shockedCategory,responseSide,filename,num,name,onsetFixationCross,onsetStimulus,interTrialTime,response,reactionTime,wasShocked,buttonPressed,isResponseCorrect
1,2,animal,0,0,tools,2,a_097.png,97,tbd,0.0157278405495163,9.9904362149573,9.7905139176192,1,1.23621211863065,0,1,0
2,2,animal,0,0,tools,2,a_073.png,73,tbd,14.5774661478681,24.2519444843128,9.61324552622866,0,0.822180051709438,0,2,1
3,2,animal,0,0,tools,2,a_121.png,121,tbd,28.8056061364841,36.4617924936865,7.59864048698794,0,0.814745491810754,0,2,1
4,2,tool,1,0,tools,2,t_252.png,252,tbd,41.0154529779247,50.0561026485957,8.9765186316652,1,1.02285565005877,1,1,1
5,2,animal,0,0,tools,2,a_013.png,13,tbd,54.8099249173902,63.9172749542558,9.04654654572807,0,0.715093198141403,0,2,1
6,2,animal,0,0,tools,2,a_056.png,56,tbd,68.4709307425037,75.3598372484375,6.82496556809143,0,0.662895002937148,0,2,1
7,2,tool,1,0,tools,2,t_194.png,194,tbd,79.9134973634209,88.0700817288052,8.09015376412727,1,0.816055594186764,1,1,1
8,2,tool,1,0,tools,2,t_186.png,186,tbd,92.823917293219,101.797834076056,8.9236166076186,1,0.957730716603692,1,1,1
9,2,animal,0,0,tools,2,a_166.png,166,tbd,106.551646680658,113.023546003078,6.39611133162357,0,0.588362289177894,0,2,1
10,2,animal,0,0,tools,2,a_057.png,57,tbd,117.577206602316,126.717944303145,9.08397003124853,0,0.686400534552376,0,2,1
11,2,tool,1,0,tools,2,t_311.png,311,tbd,131.271595479819,138.627538231227,7.28944235707706,1,0.839129461786797,1,1,1
12,2,tool,1,0,tools,2,t_241.png,241,tbd,143.381361964424,153.139248221425,9.6857427937953,1,0.744910822228121,1,1,1
13,2,animal,0,0,tools,2,a_113.png,113,tbd,157.893061401024,166.666820102517,8.71757898676564,0,0.678768427569594,0,2,1
14,2,tool,1,0,tools,2,t_213.png,213,tbd,171.220474946513,180.077637985658,8.78524650406415,1,0.805375080031808,1,1,1
15,2,tool,1,0,tools,2,t_211.png,211,tbd,184.814782184247,191.169916574232,6.29490574822592,1,0.807451884465991,1,1,1
16,2,tool,0,0,tools,2,t_328.png,328,tbd,195.92374330902,204.41392430503,8.4246779193954,1,0.733843988684384,0,1,0
17,2,animal,0,0,tools,2,a_095.png,95,tbd,208.984278950957,216.557064565033,7.5002451612569,0,0.661091087193199,0,2,1
18,2,tool,1,0,tools,2,t_350.png,350,tbd,221.110723972077,227.399143623046,6.22779457022125,1,0.970357134043297,1,1,1
19,2,tool,1,0,tools,2,t_208.png,208,tbd,232.152961353058,238.674897477231,6.46557646949809,1,1.19097499110649,1,1,1
20,2,animal,0,0,tools,2,a_180.png,180,tbd,243.428716865747,249.533666938871,6.04853574700791,0,0.577575351919222,0,2,1
21,2,animal,0,0,tools,2,a_161.png,161,tbd,254.087316578356,260.992899030683,6.83819185850336,0,0.757672274452489,0,2,1
22,2,animal,0,0,tools,2,a_079.png,79,tbd,265.546564210916,273.619720950774,8.01791148207519,0,0.640215589053696,0,2,1
23,2,tool,0,0,tools,2,t_190.png,190,tbd,278.190107508468,284.795426092984,6.5669812424249,1,0.77390525309238,0,1,0
24,2,animal,0,0,tools,2,a_011.png,11,tbd,289.349089403666,297.021950254486,7.60706001040064,0,0.752731811200647,0,2,1
25,2,tool,1,0,tools,2,t_262.png,262,tbd,301.575625595804,308.614650912517,6.98637974371434,1,1.60642629393988,1,1,1
26,2,tool,1,0,tools,2,t_314.png,314,tbd,313.368471305443,321.17477325978,7.74657961026377,1,1.11867535772035,1,1,1
27,2,tool,1,0,tools,2,t_215.png,215,tbd,325.928594185487,333.401303152259,7.40545227584052,1,0.979530053584313,1,1,1
28,2,animal,0,0,tools,2,a_072.png,72,tbd,338.155124283701,344.627025736252,6.40485792198952,0,0.716140299693507,0,2,1
29,2,tool,0,0,tools,2,t_298.png,298,tbd,349.197369912996,357.854329180165,8.60713081708996,1,0.844296255672816,0,1,0
30,2,animal,0,0,tools,2,a_026.png,26,tbd,362.424712579061,369.747284573594,7.27748138172722,0,0.922674414316134,0,2,1
31,2,animal,0,0,tools,2,a_080.png,80,tbd,374.300946165611,380.372520871297,6.01828975179579,0,0.709958751755039,0,2,1
32,2,tool,1,0,tools,2,t_191.png,191,tbd,384.92618498065,393.416377819507,8.43217091079018,1,1.9423639589113,1,1,1
33,2,animal,0,0,tools,2,a_009.png,9,tbd,398.170208112937,407.527755846702,9.29519290009278,0,0.606374571558263,0,2,1
34,2,tool,0,0,tools,2,t_214.png,214,tbd,412.081425771452,418.536648766589,6.39610844548457,1,0.668832811970788,0,1,0
35,2,tool,1,0,tools,2,t_351.png,351,tbd,423.090306999384,431.763939047829,8.62785157370871,1,1.48204754362087,1,1,1
36,2,tool,0,0,tools,2,t_259.png,259,tbd,436.534487517711,446.342401201415,9.76306675429447,1,2.04102256250553,0,1,0
37,2,animal,0,0,tools,2,a_127.png,127,tbd,450.89607188895,459.786576073184,8.83340896001001,0,0.809217004185484,0,2,1
