"trial","phase","object","toShock","seenBefore","shockedCategory","filename","num","name","onsetFixationCross","onsetForcedChoiceOptions","onsetCertaintyOptions","interTrialTime","wasShocked","buttonPressedForcedChoice","forcedChoiceRT","buttonPressedCertainty","certaintyRT"
252,4,"animal",0,0,"tools","a_128.png",128,"tbd",583.05640475341,NA,NA,0.924770684370411,0,"1",NA,"4",NA
253,1,"tool",0,1,"tools","t_358.png",358,"tbd",585.791661037268,NA,NA,0.642013736967074,0,"1",NA,"4",NA
254,3,"tool",0,1,"tools","t_248.png",248,"tbd",588.22660120774,NA,NA,0.340324426218858,0,"1",NA,"4",NA
255,3,"animal",0,1,"tools","a_004.png",4,"tbd",590.661996389904,NA,NA,0.707122034900707,0,"1",NA,"4",NA
256,2,"tool",0,1,"tools","t_221.png",221,"tbd",592.88012862134,NA,NA,0.727681600133409,0,"2",NA,"1",NA
257,2,"animal",0,1,"tools","a_096.png",96,"tbd",595.999240294209,NA,NA,0.584194072709147,0,"2",NA,"1",NA
258,2,"animal",0,1,"tools","a_172.png",172,"tbd",598.634498817358,NA,NA,0.627716554645163,0,"1",NA,"4",NA
259,1,"animal",0,1,"tools","a_015.png",15,"tbd",600.669334425335,NA,NA,0.579910603081059,0,"1",NA,"1",NA
260,4,"animal",0,0,"tools","a_067.png",67,"tbd",602.754201725514,NA,NA,0.662297466814251,0,"1",NA,"1",NA
261,4,"tool",0,0,"tools","t_276.png",276,"tbd",606.256725283177,NA,NA,0.560125876168778,0,"1",NA,"1",NA
262,3,"tool",0,1,"tools","t_213.png",213,"tbd",608.858681802347,NA,NA,0.121743501190126,0,"2",NA,"1",NA
263,1,"tool",0,1,"tools","t_216.png",216,"tbd",611.477250757923,NA,NA,0.432909520909516,0,"2",NA,"1",NA
264,1,"animal",0,1,"tools","a_063.png",63,"tbd",613.261894626523,NA,NA,0.241945108858525,0,"1",NA,"4",NA
265,4,"animal",0,0,"tools","a_131.png",131,"tbd",614.879758827149,NA,NA,0.420177749273627,0,"2",NA,"4",NA
266,2,"tool",0,1,"tools","t_225.png",225,"tbd",616.731077303609,NA,NA,0.276916243460461,0,"1",NA,"4",NA
267,4,"animal",0,0,"tools","a_149.png",149,"tbd",618.415691999212,NA,NA,0.34043629347003,0,"2",NA,"4",NA
268,3,"tool",0,1,"tools","t_351.png",351,"tbd",620.200317829072,NA,NA,0.26515664522083,0,"1",NA,"4",NA
269,4,"animal",0,0,"tools","a_084.png",84,"tbd",621.918212135734,NA,NA,0.841557193064102,0,"1",NA,"1",NA
270,2,"tool",0,1,"tools","t_288.png",288,"tbd",626.071331910004,NA,NA,0.984533520590691,0,"2",NA,"1",NA
271,4,"animal",0,0,"tools","a_080.png",80,"tbd",628.756621093897,NA,NA,0.496395902009612,0,"2",NA,"4",NA
272,4,"animal",0,0,"tools","a_150.png",150,"tbd",630.624651219839,NA,NA,0.275275390616873,0,"2",NA,"4",NA
273,4,"animal",0,0,"tools","a_105.png",105,"tbd",632.392587482125,NA,NA,0.500653453792466,0,"1",NA,"1",NA
274,2,"tool",0,1,"tools","t_327.png",327,"tbd",635.294728556276,NA,NA,0.0618620454810113,0,"1",NA,"1",NA
275,3,"tool",0,1,"tools","t_183.png",183,"tbd",637.429638123091,NA,NA,0.105009742336927,0,"1",NA,"1",NA
276,4,"tool",0,0,"tools","t_305.png",305,"tbd",639.314341332929,NA,NA,0.122771550373673,0,"2",NA,"4",NA
277,1,"animal",0,1,"tools","a_123.png",123,"tbd",640.81546408905,NA,NA,0.13672801107854,0,"1",NA,"4",NA
278,4,"animal",0,0,"tools","a_147.png",147,"tbd",642.36661045104,NA,NA,0.39147318892463,0,"2",NA,"1",NA
279,4,"animal",0,0,"tools","a_137.png",137,"tbd",644.584822923772,NA,NA,0.704598507365882,0,"2",NA,"1",NA
280,4,"animal",0,0,"tools","a_034.png",34,"tbd",647.40361786123,NA,NA,0.413386153522658,0,"2",NA,"4",NA
281,4,"tool",0,0,"tools","t_193.png",193,"tbd",649.204935746767,NA,NA,0.773970515493995,0,"2",NA,"1",NA
282,4,"tool",0,0,"tools","t_263.png",263,"tbd",651.590040163086,NA,NA,0.247387008501592,0,"2",NA,"4",NA
283,1,"animal",0,1,"tools","a_020.png",20,"tbd",654.191941321982,NA,NA,0.0983086339050131,0,"1",NA,"4",NA
284,4,"animal",0,0,"tools","a_156.png",156,"tbd",655.726376034491,NA,NA,0.778051966009654,0,"2",NA,"4",NA
285,4,"tool",0,0,"tools","t_250.png",250,"tbd",658.912070877464,NA,NA,0.63975623578043,0,"1",NA,"1",NA
286,2,"tool",0,1,"tools","t_266.png",266,"tbd",662.581378768293,NA,NA,0.133376551350851,0,"1",NA,"4",NA
287,4,"animal",0,0,"tools","a_085.png",85,"tbd",664.132545657126,NA,NA,0.315629710142671,0,"2",NA,"1",NA
288,4,"animal",0,0,"tools","a_140.png",140,"tbd",666.28414416949,NA,NA,0.568739849986983,0,"2",NA,"4",NA
289,4,"animal",0,0,"tools","a_163.png",163,"tbd",668.252252919461,NA,NA,0.684790044498633,0,"2",NA,"1",NA
290,1,"animal",0,1,"tools","a_053.png",53,"tbd",671.754790472699,NA,NA,0.561891205440067,0,"1",NA,"4",NA
