trial,phase,object,toShock,seenBefore,shockedCategory,responseSide,filename,num,name,onsetFixationCross,onsetForcedChoiceOptions,onsetCertaintyOptions,interTrialTime,wasShocked,buttonPressedForcedChoice,forcedChoiceRT,buttonPressedCertainty,certaintyRT
1,3,animal,0,1,tools,1,a_077.png,77,tbd,0.0199954579111363,1.70444381336745,2.57186589235766,0.521627250253966,0,1,0.761891240354885,1,2.45944560455928
2,2,tool,0,1,tools,1,t_227.png,227,tbd,5.0572745729595,6.87528968132494,8.5766942541743,0.672618081128654,0,2,1.61209834687361,3,2.50262600325038
3,2,animal,0,1,tools,1,a_095.png,95,tbd,11.112082341871,13.2471215264608,14.8314434995145,0.995036064839849,0,1,1.53736248623727,4,1.77527342524024
4,4,animal,0,0,tools,1,a_007.png,7,tbd,16.6163620218543,18.4675709475289,19.3852090280114,0.727316525191487,0,2,0.850000581891891,3,1.21141582037978
5,3,animal,0,1,tools,1,a_160.png,160,tbd,20.6195241004697,22.3042611082303,23.5049012411016,0.521743142502636,0,1,1.1173334184158,3,1.95881619146985
6,1,animal,0,1,tools,1,a_125.png,125,tbd,25.4901359163861,27.525064079806,28.2921532969858,0.893096357277179,0,1,0.691698691248916,4,1.44153788797632
7,4,animal,0,0,tools,1,a_087.png,87,tbd,29.7434147982016,31.744738026369,32.7956686780017,0.82495911959916,0,1,0.991102678041557,2,1.2051947889139
8,4,animal,0,0,tools,1,a_002.png,2,tbd,34.0135438633755,35.7146612642346,36.4654702718976,0.552333276650627,0,2,0.696243229631023,4,1.29152916495229
9,4,animal,0,0,tools,1,a_145.png,145,tbd,37.7664368003203,39.3342368484543,40.3348494509362,0.46052325078845,0,1,0.942664719887148,3,1.13704079639467
10,3,animal,0,1,tools,1,a_148.png,148,tbd,41.4860376545947,42.7201229529289,43.6376133679256,0.116613706272173,0,2,0.844784769901253,2,1.14545562999763
11,1,animal,0,1,tools,1,a_060.png,60,tbd,44.8054142103598,46.2895650328177,47.5742328091249,0.367750352997056,0,1,1.20654200316585,4,0.958803836678726
12,1,animal,0,1,tools,1,a_138.png,138,tbd,48.5584000643769,50.5432824421848,51.4940156860926,0.837627419132474,0,1,0.885841426718116,2,1.2091632108652
13,3,tool,0,1,tools,1,t_240.png,240,tbd,52.7115999897662,54.5630829276304,55.4969058075847,0.694338143503507,0,1,0.875128540102764,4,1.20527842903471
