"trial","phase","object","toShock","seenBefore","shockedCategory","filename","num","name","onsetFixationCross","onsetForcedChoiceOptions","onsetCertaintyOptions","interTrialTime","wasShocked","buttonPressedForcedChoice","forcedChoiceRT","buttonPressedCertainty","certaintyRT"
282,1,"tool",0,1,"animals","t_213.png",213,"tbd",823.127267583512,NA,NA,0.320749023284188,0,"2",NA,"1",NA
283,3,"animal",0,1,"animals","a_024.png",24,"tbd",825.062023559891,NA,NA,0.227744546120634,0,"2",NA,"1",NA
284,4,"animal",0,0,"animals","a_023.png",23,"tbd",826.996786689606,NA,NA,0.507803222684505,0,"1",NA,"1",NA
285,2,"animal",0,1,"animals","a_094.png",94,"tbd",830.065713126252,NA,NA,0.51803186490435,0,"1",NA,"4",NA
286,3,"animal",0,1,"animals","a_168.png",168,"tbd",831.917092927036,NA,NA,0.658636858259819,0,"1",NA,"4",NA
287,1,"animal",0,1,"animals","a_155.png",155,"tbd",834.63579202755,NA,NA,0.0486318748505031,0,"2",NA,"1",NA
288,4,"tool",0,0,"animals","t_258.png",258,"tbd",836.33701832707,NA,NA,0.342539622590958,0,"2",NA,"1",NA
289,4,"animal",0,0,"animals","a_112.png",112,"tbd",839.506073119448,NA,NA,0.55350859909031,0,"2",NA,"1",NA
290,2,"tool",0,1,"animals","t_236.png",236,"tbd",841.691014227275,NA,NA,0.706492700013565,0,"2",NA,"1",NA
291,1,"animal",0,1,"animals","a_028.png",28,"tbd",844.026064983305,NA,NA,0.135670911327193,0,"2",NA,"4",NA
292,3,"tool",0,1,"animals","t_215.png",215,"tbd",845.443775959291,NA,NA,0.579541705456171,0,"2",NA,"1",NA
293,4,"tool",0,0,"animals","t_330.png",330,"tbd",848.145775752156,NA,NA,0.96913477985651,0,"2",NA,"4",NA
294,3,"tool",0,1,"animals","t_316.png",316,"tbd",850.447436290279,NA,NA,0.879172705635757,0,"1",NA,"1",NA
295,2,"tool",0,1,"animals","t_257.png",257,"tbd",852.865916716419,NA,NA,0.0261679599282525,0,"1",NA,"1",NA
296,4,"tool",0,0,"animals","t_267.png",267,"tbd",854.617236273671,NA,NA,0.746073255864083,0,"2",NA,"1",NA
297,1,"tool",0,1,"animals","t_272.png",272,"tbd",858.369996761628,NA,NA,0.594815978057071,0,"1",NA,"1",NA
298,2,"tool",0,1,"animals","t_192.png",192,"tbd",860.321466352329,NA,NA,0.529442660928464,0,"1",NA,"1",NA
299,4,"tool",0,0,"animals","t_286.png",286,"tbd",862.7899165634,NA,NA,0.860710888036549,0,"2",NA,"1",NA
300,1,"tool",0,1,"animals","t_269.png",269,"tbd",865.225053066159,NA,NA,0.734768264023221,0,"2",NA,"4",NA
301,4,"animal",0,0,"animals","a_109.png",109,"tbd",867.343296468061,NA,NA,0.962863632821917,0,"2",NA,"1",NA
302,4,"tool",0,0,"animals","t_324.png",324,"tbd",870.545668078896,NA,NA,0.788563568837392,0,"1",NA,"1",NA
303,1,"animal",0,1,"animals","a_091.png",91,"tbd",873.297699548599,NA,NA,0.4621841780155,0,"1",NA,"1",NA
304,2,"animal",0,1,"animals","a_067.png",67,"tbd",875.199113203322,NA,NA,0.714890146115214,0,"1",NA,"1",NA
305,4,"tool",0,0,"animals","t_224.png",224,"tbd",878.701696335196,NA,NA,0.201419583421123,0,"1",NA,"4",NA
306,1,"animal",0,1,"animals","a_170.png",170,"tbd",880.236174326713,NA,NA,0.668490986638344,0,"2",NA,"1",NA
307,4,"animal",0,0,"animals","a_063.png",63,"tbd",883.138291496492,NA,NA,0.964775302852118,0,"2",NA,"1",NA
308,3,"tool",0,1,"animals","t_190.png",190,"tbd",886.707631738082,NA,NA,0.704944753702121,0,"2",NA,"1",NA
309,4,"tool",0,0,"animals","t_339.png",339,"tbd",888.508879715321,NA,NA,0.320530558751661,0,"2",NA,"4",NA
310,3,"animal",0,1,"animals","a_172.png",172,"tbd",890.243556569582,NA,NA,0.949575274264183,0,"1",NA,"1",NA
311,4,"animal",0,0,"animals","a_140.png",140,"tbd",893.112365007285,NA,NA,0.604228681467218,0,"2",NA,"1",NA
312,4,"animal",0,0,"animals","a_043.png",43,"tbd",895.731015993839,NA,NA,0.887267899809491,0,"2",NA,"1",NA
313,3,"tool",0,1,"animals","t_344.png",344,"tbd",898.849966953987,NA,NA,0.0140582767509159,0,"1",NA,"1",NA
