,phase,T,dof,tail,p-val,cohen-d,BF10,sig
0,1,1.762914040939589,76,two-sided,0.0819349604912906,0.17438774949046196,1.094,~
1,2,4.889778638564906,79,two-sided,5.207998700643056e-06,0.5234066898839623,6223.322,***
2,3,3.8808897719041773,72,two-sided,0.00022824280858013457,0.33415636530519593,191.828,***
