phase,,T,dof,tail,p-val,cohen-d,BF10,sig
1,T-test,-0.4904215298991872,82,two-sided,0.6251453969279726,0.06976437204111215,0.272,
2,T-test,-2.2277499168954757,82,two-sided,0.028636454287218078,0.3160006534877659,2.502,*
3,T-test,0.1242429194213564,82,two-sided,0.9014270005121421,0.016831937981388646,0.244,
