Source,ddof1,ddof2,F,p-unc,np2,sig
phase,2,154,17.72336299413598,1.1819210838888724e-07,0.1871065641454598,***
condition,1,77,10.674763779527408,0.0016235864411673186,0.12175412079091373,**
phase * condition,2,154,19.49766434405929,2.8313405460846245e-08,0.2020532256049328,***
