"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-2.77839426974356,0.0945933191466717,-29.3719925974425,1.25184601102236e-189
"condition1",-0.00636134384276064,0.0637112314710897,-0.0998465058024697,0.920466186206172
"phaseone",2.22523255548589,0.0650462477963923,34.2100064319053,1.71661029071996e-256
"phasethree",1.7501121258282,0.0664407439137069,26.3409471769498,6.51702539494186e-153
"phasetwo",1.96451918999677,0.0657814152887208,29.8643497008132,5.71681478444289e-196
"condition1:phaseone",0.191968709170816,0.090566403131875,2.11964594521092,0.0340359147273933
"condition1:phasethree",0.314732106221269,0.092476522563366,3.40337306699234,0.000665593316561971
"condition1:phasetwo",0.599755419898617,0.0910593964806562,6.58641988722189,4.50558484467637e-11
