,phase,T,dof,tail,p-val,cohen-d,BF10,sig
0,1,1.6048254931797183,79,two-sided,0.1125227055168501,0.15793067468044955,0.84,
1,2,7.243860325009405,82,two-sided,2.1506815858244736e-10,0.7905960630455349,91180000.0,***
2,3,1.484857478853411,81,two-sided,0.14146303249085207,0.13083890272455623,0.698,
