"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-1.25973661430631,0.0786892523200164,-16.0090047517946,1.10564238181969e-57
"condition1",0.0805192752237901,0.0399059221137364,2.01772746897819,0.0436196523794766
"phaseone",1.80502104159558,0.0927517316360086,19.4607799742126,2.36163327967331e-84
"phasethree",1.52626083105706,0.0923969626470973,16.5185173552348,2.69952982540468e-61
"phasetwo",1.76260567308989,0.092910152620548,18.9710771468486,2.9578331974485e-80
"condition1:phaseone",0.090753775098542,0.0742561660883844,1.22217157010936,0.221642752540783
"condition1:phasethree",0.129512283869574,0.0731086986438548,1.77150306696726,0.076477083124522
"condition1:phasetwo",0.531876491599115,0.0759245503485611,7.00532949036022,2.46405255512688e-12
