,phase,T,dof,tail,p-val,cohen-d,BF10,sig
0,1,1.455117402306834,80,two-sided,0.14954956945352563,0.13778390503078822,0.674,
1,2,5.7494522304016025,82,two-sided,1.4845073988498904e-07,0.5767323631121035,176940.0,***
2,3,1.7099246601864495,82,two-sided,0.09106140506834397,0.16533545377608902,0.974,~
