phase,,T,dof,tail,p-val,cohen-d,BF10,sig
1,T-test,-2.5979808045246395,44,two-sided,0.012708521750045346,0.38505410263690065,6.368,*
2,T-test,-1.677863776459688,44,two-sided,0.10046416260433859,0.2996575585477836,1.178,
3,T-test,-1.233236890726201,44,two-sided,0.22403537011403854,0.21500268433555833,0.656,
