Source,ddof1,ddof2,F,p-unc,np2,sig
phase,2,164,0.5722604421385656,0.5653711603228259,0.006930419962761824,
condition,1,82,1.5183117962035897,0.221396688255385,0.01817938801143974,
phase * condition,2,164,2.5920525844039584,0.07793126522116478,0.030641797961075235,~
