phase,,T,dof,tail,p-val,cohen-d,BF10,sig
1,T-test,-0.9718586413779621,79,two-sided,0.3340871815654104,0.13514211121352718,0.388,
2,T-test,-2.514328551387113,79,two-sided,0.013957495293917828,0.30566245834523886,4.684,*
3,T-test,-0.39252215561783976,79,two-sided,0.6957295164177022,0.05079869471183499,0.266,
