,phase,T,dof,tail,p-val,cohen-d,BF10,sig
0,1,2.2456709191453776,77,two-sided,0.027592979321176193,0.2098456590677784,2.65,*
1,2,5.6262306330142255,78,two-sided,2.769881451875339e-07,0.6101725880128737,99180.0,***
2,3,4.139375988426083,79,two-sided,8.646305909539783e-05,0.4154728013936167,454.54,***
