Source,ddof1,ddof2,F,p-unc,np2
phase,2,164,11.495390931244142,2.1278418328680204e-05,0.12295141842551117
condition,1,82,24.481074382710858,3.937663527366589e-06,0.22991009927944348
phase * condition,2,164,21.728898855310383,4.255542678727863e-09,0.20947777422779398
