Source,ddof1,ddof2,F,p-unc,np2,sig
phase,2,88,3.8784380846236606,0.024308541449629482,0.08100594421582093,*
condition,1,44,4.899317406143345,0.03209850872277589,0.1001919385796545,*
phase * condition,2,88,0.5511811023621873,0.5782451384099087,0.012371862849062887,
