Source,ddof1,ddof2,F,p-unc,np2,sig
phase,2,158,17.484405676782448,1.381742944304306e-07,0.18121483522792547,***
condition,1,79,29.94875708420579,5.069881259165064e-07,0.2748884694577891,***
phase * condition,2,158,11.5075242980144,2.159981604838646e-05,0.1271443936542065,***
