phase,,T,dof,tail,p-val,cohen-d,BF10,sig
1,T-test,-0.9845227413827656,77,two-sided,0.3279420661198582,0.1003817768081707,0.199,
2,T-test,5.388095385555685,77,two-sided,7.510312245798443e-07,0.6405949206403214,1.938e+04,***
3,T-test,1.6273268164958097,77,two-sided,0.10775322472039983,0.17009654898993756,0.439,
