phase,,T,dof,tail,p-val,cohen-d,BF10,sig
1,T-test,2.8984589167983055,44,two-sided,0.005827629719219343,0.33244757909533906,12.452,**
2,T-test,5.4895695569542715,44,two-sided,1.8868999260347066e-06,0.8080912435356079,18461.522,***
3,T-test,3.1904169779739324,44,two-sided,0.0026201734605718354,0.46315309194213683,25.056,**
