Source,ddof1,ddof2,F,p-unc,np2,sig
phase,2,154,35.716470357832485,1.8061654350560492e-13,0.3168700212528488,***
condition,1,77,17.848099252425634,6.50309131650243e-05,0.1881756133554694,***
phase * condition,2,154,22.121166380552037,3.5889940873080344e-09,0.2231729830097348,***
