phase,,T,dof,tail,p-val,cohen-d,BF10,sig
1,T-test,1.7252341954346109,82,two-sided,0.08825232698360477,0.1903041108184882,0.998,
2,T-test,7.243860325009405,82,two-sided,2.1506815858244736e-10,0.7905960630455349,91180000.0,***
3,T-test,1.7484626709995295,82,two-sided,0.08412644390185096,0.16023474703316112,1.036,
