phase,,T,dof,tail,p-val,cohen-d,BF10,sig
1,T-test,2.3088037650384243,79,two-sided,0.023569067368442796,0.22205431826177965,1.497,*
2,T-test,6.075290054631269,79,two-sided,4.1024810419918355e-08,0.6856108574315412,3.029e+05,***
3,T-test,3.883629299946944,79,two-sided,0.00021246961342693331,0.4087794412244667,99.282,***
