Source,ddof1,ddof2,F,p-unc,np2,sig
phase,2,88,19.717282723159855,8.406184385456266e-08,0.30944952264879066,***
condition,1,44,28.66280039525121,2.9740424313023964e-06,0.3944631949132039,***
phase * condition,2,88,9.042771988271632,0.00026814174878398003,0.17048075825055095,***
