Source,ddof1,ddof2,F,p-unc,np2
phase,2,158,26.850974830048727,9.154742110257303e-11,0.2536677141912002
condition,1,79,17.03466048526748,9.027570131281354e-05,0.17738033746556264
phase * condition,2,158,6.658505755543096,0.001673675156873538,0.07773315325562066
