,phase,T,dof,tail,p-val,cohen-d,BF10,sig
0,1,-1.8566034343334554,75,two-sided,0.06729474313108698,0.17230008388667264,1.288,~
1,2,5.885757884296262,76,two-sided,1.0062870936669694e-07,0.6877506016763314,260600.0,***
2,3,2.380819579436146,75,two-sided,0.019813704169253436,0.2356194499664633,3.546,*
